,year,freq,tokens,rate,exp_freq,poisson_prob
0,0,0,233468,0.0,0.10121550053762161,0.09626174418066169
1,25,0,52493,0.0,0.0227573169330331,0.02250032238962929
2,50,0,70093,0.0,0.030387453865983825,0.029930396492715117
3,75,0,222474,0.0,0.09644926613757274,0.09194403438242837
4,100,0,664783,0.0,0.28820371140328316,0.2503911271911686
5,125,0,298449,0.0,0.1293867464489893,0.12136590878751352
6,150,0,1651651,0.0,0.7160410963321023,0.5113169192957742
7,175,0,3042930,0.0,1.3192029873513498,0.7326517029509693
8,200,3,7104426,4.222719752447277e-07,3.079985409659966,0.37068190327682726
9,225,7,9410915,7.43817152742321e-07,4.079918756497727,0.056035212547454916
10,250,9,6902429,1.3038888194286388e-06,2.992413547725577,0.001082155722852196
11,275,3,11414520,2.6282314105192336e-07,4.948542649085496,0.7276763556362771
12,300,21,24368097,8.617825183476576e-07,10.564313460535558,0.0013860095596681665
13,325,3,12977674,2.3116623209983545e-07,5.626217596090591,0.8121979947266607
14,350,13,20380879,6.378527638577315e-07,8.83573281726704,0.0658762351969866
15,375,4,18437688,2.1694694041899396e-07,7.9933002367626385,0.8999833797287164
16,400,5,14144096,3.535043879792671e-07,6.131897117772764,0.5752666253256249
17,425,5,19490932,2.5652954922832836e-07,8.449913642660864,0.8465955121451085
18,450,19,42910701,4.427799956006312e-07,18.603097984028732,0.40327609811114107
19,475,6,14176310,4.2324130891607196e-07,6.14586286954311,0.4171124964190738
20,500,8,19394682,4.124842057219603e-07,8.408186331308789,0.46423767435657837
21,525,13,17923241,7.253152485089052e-07,7.7702717677429956,0.027853896545199985
22,550,6,19921220,3.011863731237344e-07,8.636456617695266,0.7580741693577961
23,575,12,20076824,5.977040990148641e-07,8.703915698792702,0.10375497408526979
24,600,3,22429658,1.33751482077881e-07,9.723941017003053,0.9873605608567919
25,625,1,19668961,5.084152640294523e-08,8.527094645390198,0.9981133543937774
26,650,11,23160110,4.749545662779667e-07,10.040614243306901,0.3078524247463088
27,675,4,22414398,1.7845672232642608e-07,9.71732534145778,0.9649231185711823
28,700,3,16970520,1.7677714059439544e-07,7.357238149055624,0.9350590800223996
29,725,14,63832227,2.1932495007576659e-07,27.67321776961333,0.996757236912726
30,750,15,35587169,4.21500232288778e-07,15.428123438980636,0.47567771808760195
31,775,11,18004561,6.10956301572696e-07,7.8055264686172885,0.09839917837628886
32,800,11,30191974,3.6433523690766295e-07,13.089141812277733,0.6558189191856492
33,825,18,25937655,6.939717565061298e-07,11.244764736911028,0.021522138426884996
34,850,23,40749532,5.644236601293973e-07,17.666165290548722,0.08716379798287421
35,875,8,16918711,4.7284926138876654e-07,7.334777366989758,0.31548230891116447
36,900,25,34514985,7.24323073007275e-07,14.963298965269338,0.006004359457195796
37,925,8,12194984,6.560074207559436e-07,5.286897603133136,0.08843964871483023
38,950,7,17016893,4.1135593906596225e-07,7.377342259282426,0.45732612178289156
39,975,3,11742796,2.5547578276928253e-07,5.0908603099833,0.7474974782585906
