,year,freq,tokens,rate,exp_freq,poisson_prob
0,0,0,225058,0.0,0.25017534729545865,0.22133576556754053
1,25,0,52493,0.0,0.05835142276915511,0.05668161437824493
2,50,0,70093,0.0,0.07791565115650446,0.07495755048627983
3,75,0,222474,0.0,0.24730296285495232,0.21909592723779348
4,100,0,661047,0.0,0.734822413793871,0.5204093799083322
5,125,0,298449,0.0,0.3317570680668198,0.28233835538988017
6,150,1,1651651,6.054547843339786e-07,1.835981669329202,0.5477831801566283
7,175,2,2974427,6.723984148879767e-07,3.306384610766954,0.6418541349662298
8,200,11,6552096,1.6788520803113995e-06,7.283335372718078,0.06720010387399644
9,225,15,9154506,1.6385373498034738e-06,10.176184440759092,0.05512967233244592
10,250,27,6657318,4.05568729028717e-06,7.4003005567734,5.851488071861866e-09
11,275,12,11402920,1.0523620265686333e-06,12.675530179697372,0.500820007035492
12,300,60,24060606,2.4937027770622236e-06,26.745863120569787,9.616793805733437e-09
13,325,7,12976091,5.394536767659845e-07,14.424273176081165,0.9750224155656791
14,350,26,20351344,1.2775569023844323e-06,22.622633068495002,0.2039218603361379
15,375,9,18137657,4.962052154806985e-07,20.16188999769351,0.9954549940487878
16,400,17,13695523,1.2412815487221628e-06,15.223996582738412,0.27039583577674264
17,425,22,17359041,1.2673511169194196e-06,19.29637742666826,0.22736669571971824
18,450,46,41348454,1.1124962495574804e-06,45.96310213180733,0.4587284028744256
19,475,9,13600938,6.617190667290742e-07,15.118855529214693,0.9339076347206525
20,500,15,19388545,7.73652690286971e-07,21.552381959000027,0.9090772466028322
21,525,24,17916846,1.339521476045505e-06,19.916435632100384,0.15215422381269117
22,550,17,19904733,8.540682258837634e-07,22.12617854552327,0.8374660689105191
23,575,16,19953075,8.018814142682269e-07,22.179915700563114,0.8900080076446113
24,600,17,22215976,7.652150866565575e-07,24.69536524499273,0.9322558578491394
25,625,3,19583854,1.5318741653200642e-07,21.769488202301435,0.999999304785373
26,650,24,23062305,1.0406592055737708e-06,25.63614784992665,0.5764250289374149
27,675,9,21680712,4.1511551834644544e-07,24.100363702746925,0.9996013385975334
28,700,6,16177267,3.708908309419632e-07,17.982712856314205,0.9989440452857848
29,725,49,58589889,8.36321775588276e-07,65.12874827190045,0.9773239217821614
30,750,14,29156339,4.801700240897872e-07,32.410299723578476,0.9997687568785266
31,775,24,17493373,1.3719481085780311e-06,19.445701399834704,0.12761824055069926
32,800,41,30191974,1.35797679211038e-06,33.56151561368828,0.08869794553108423
33,825,46,25937655,1.7734833777378872e-06,28.832398082515567,0.0011534673871462786
34,850,44,38453177,1.1442487573913594e-06,42.74470096858917,0.3851204503709519
35,875,25,15764762,1.585815250493474e-06,17.524170695466275,0.034362780605917576
36,900,68,34514985,1.970158758579788e-06,38.366991438973706,5.4206851269889e-06
37,925,22,12194984,1.8040204070788448e-06,13.555991599776775,0.011971238971446696
38,950,0,13927733,0.0,15.482122121024002,0.9999998111139892
39,975,16,11742796,1.3625375081028402e-06,13.053337661934801,0.16836461739631636
