,year,freq,tokens,rate,exp_freq,poisson_prob
0,0,0,233468,0.0,0.2647690245851691,0.23261682384493076
1,25,0,52493,0.0,0.05953072972548393,0.057793420603178824
2,50,0,70093,0.0,0.07949035945075239,0.07641307618908921
3,75,0,222474,0.0,0.25230106042610084,0.22298922434290258
4,100,0,664783,0.0,0.7539103708893831,0.5294769689001553
5,125,0,298449,0.0,0.33846201885662763,0.28713414566506545
6,150,1,1651651,6.054547843339786e-07,1.8730876361005326,0.5585543427838088
7,175,2,3042930,6.572612580637741e-07,3.4508952318131336,0.6699748005652685
8,200,11,7104426,1.548330575897335e-06,8.056915475600574,0.11607651559260501
9,225,15,9410915,1.5938938987335451e-06,10.672635157725841,0.07617366818651738
10,250,27,6902429,3.911666458285916e-06,7.8278367639179,1.875003330376046e-08
11,275,12,11414520,1.0512925642076935e-06,12.94486322111769,0.5308208719415697
12,300,65,24368097,2.6674220805998926e-06,27.635124615308246,4.2343217820928203e-10
13,325,7,12977674,5.39387874899616e-07,14.717589075866114,0.9788384304980243
14,350,27,20380879,1.3247711249352886e-06,23.113340813380663,0.17893337694946299
15,375,10,18437688,5.423673510474849e-07,20.90962644716054,0.9934265263692259
16,400,17,14144096,1.2019149191295083e-06,16.040393122650606,0.3444330264139005
17,425,30,19490932,1.53917729536997e-06,22.104078734112854,0.042603730696199715
18,450,48,42910701,1.118602094148963e-06,48.66373313702881,0.4998089032109201
19,475,9,14176310,6.348619633741079e-07,16.076926049467072,0.9583137247797453
20,500,15,19394682,7.734078857286755e-07,21.99492450905279,0.9229600830209701
21,525,24,17923241,1.3390435357087481e-06,20.326207604360818,0.17553971510856803
22,550,19,19921220,9.53756848225159e-07,22.5920553906598,0.7357025993034193
23,575,17,20076824,8.467474736043909e-07,22.76852119882859,0.867522110275116
24,600,17,22429658,7.579250651079923e-07,25.436799349113947,0.9487820367543426
25,625,3,19668961,1.525245792088357e-07,22.305976059133297,0.9999995641383825
26,650,24,23160110,1.0362645082428364e-06,26.265182954345867,0.6237497064260734
27,675,9,22414398,4.0152762523445865e-07,25.419493442886242,0.9998322135749038
28,700,6,16970520,3.535542811887909e-07,19.2457554230263,0.9995631434262492
29,725,55,63832227,8.616337324405116e-07,72.39020542382295,0.9798429101893082
30,750,28,35587169,7.86800433605719e-07,40.35833614832683,0.9740304518500689
31,775,24,18004561,1.3329955670677003e-06,20.418430166250523,0.18105430206856754
32,800,42,30191974,1.391098177283804e-06,34.239808051984795,0.08265288105578494
33,825,48,25937655,1.8505913506830127e-06,29.41511305350898,0.0005912518346496975
34,850,44,40749532,1.0797670019866732e-06,46.21281648852149,0.5904890327522678
35,875,25,16918711,1.4776539418398956e-06,19.18700039709241,0.0795992342706634
36,900,71,34514985,2.057077527340661e-06,39.14240457802244,1.624890181295413e-06
37,925,22,12194984,1.8040204070788448e-06,13.829963928725752,0.014747431779557618
38,950,0,17016893,0.0,19.29834564514277,0.999999995842474
39,975,16,11742796,1.3625375081028402e-06,13.317151142009292,0.18812297981353676
