,year,freq,uri,rate,exp_freq,poisson_prob
0,0,0,36,0.0,2.010762664687326,0.8661134748040173
1,25,0,7,0.0,0.3909816292447578,0.3236074182322788
2,50,0,8,0.0,0.44683614770829466,0.36035129240461194
3,75,0,10,0.0,0.5585451846353683,0.427959327656948
4,100,0,16,0.0,0.8936722954165893,0.59084953087155
5,125,0,17,0.0,0.9495268138801262,0.6130759327577399
6,150,1,26,0.038461538461538464,1.4522174800519576,0.42605675906885
7,175,2,51,0.0392156862745098,2.8485804416403786,0.5420455628999293
8,200,10,95,0.10526315789473684,5.3061792540359995,0.020148715639701553
9,225,6,119,0.05042016806722689,6.646687697160883,0.4964358142587373
10,250,8,156,0.05128205128205128,8.713304880311746,0.5060187455340135
11,275,8,234,0.03418803418803419,13.06995732046762,0.9033984342356371
12,300,19,232,0.08189655172413793,12.958248283540545,0.041545430955453044
13,325,6,173,0.03468208092485549,9.662831694191873,0.8471251184625214
14,350,10,204,0.049019607843137254,11.394321766561514,0.586254681162659
15,375,10,261,0.038314176245210725,14.578029318983113,0.8595410658395246
16,400,13,217,0.059907834101382486,12.120430506587493,0.33123949319041257
17,425,12,211,0.05687203791469194,11.785303395806272,0.39949620106233796
18,450,20,252,0.07936507936507936,14.075338652811283,0.05009777944568494
19,475,4,106,0.03773584905660377,5.920578957134905,0.7041720931192395
20,500,9,142,0.06338028169014084,7.93134162182223,0.27489421206292397
21,525,11,116,0.09482758620689655,6.4791241417702725,0.033196467893293446
22,550,9,122,0.07377049180327869,6.814251252551494,0.15117872188064263
23,575,7,215,0.03255813953488372,12.008721469660419,0.9108757844404611
24,600,8,156,0.05128205128205128,8.713304880311746,0.5060187455340135
25,625,2,166,0.012048192771084338,9.271850064947115,0.9949921564360658
26,650,10,162,0.06172839506172839,9.048431991092967,0.29976995173330623
27,675,8,150,0.05333333333333334,8.378177769530526,0.4600879109316802
28,700,3,104,0.028846153846153848,5.80886992020783,0.8309085070870547
29,725,25,346,0.07225433526011561,19.325663388383745,0.0846428589930952
30,750,12,206,0.05825242718446602,11.506030803488587,0.3677354115717165
31,775,8,129,0.06201550387596899,7.205232881796252,0.298031718266458
32,800,11,136,0.08088235294117647,7.596214511041009,0.08499842455050821
33,825,8,141,0.05673758865248227,7.875487103358694,0.39007799122447606
34,850,12,142,0.08450704225352113,7.93134162182223,0.06054943841531002
35,875,4,76,0.05263157894736842,4.244943403228799,0.4189010331065086
36,900,17,247,0.06882591093117409,13.796066060493597,0.15858395187342245
37,925,3,60,0.05,3.35127110781221,0.4309604848324402
38,950,0,96,0.0,5.362033772499536,0.9953086447505529
39,975,5,46,0.10869565217391304,2.569307849322694,0.04681200209772696
