Topic,uri,ms
676,0840ShihabDinBusiri.IthafKhayra.Shamela0021765-ara1,2495
676,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,1121
1008,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,619
1531,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,619
1805,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,45
1805,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,4107
88,0827BadrDinDamaminiMakhzumi.MasabihJamic.Sham19Y0016684-ara1,60
88,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,37
88,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,2264
88,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,3092
88,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,4023
88,0842IbnNasirDinDimashqi.JamicAthar.ShamAY0034447-ara1,807
88,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,609
88,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,611
88,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,4499
