Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount
-1,حدثنا,اخبرنا,نا,قال,بن,تعالي,عن,عليه,ابو,الله,200883,14050,4244
0,حب,كلاهما,كم,عه,خز,طح,وعن,حم,ثلاثتهم,مي,5792,3646,64
1,منده,بدرا,شهد,اخرجه,ذكره,الصحابه,صحبه,اورده,فيمن,مختصرا,3629,2203,157
2,الدين,ين,المكي,اسمه,العباسي,شمس,حرف,محمود,منصور,هبه,2547,1237,350
3,انشدني,فيا,الدهر,البسيط,وانشدني,يك,نواس,ذا,الطويل,الوري,2365,1132,589
4,المذهب,وقدمه,الفروع,الاصحاب,الخرقي,اختاره,وجزم,واختاره,الزركشي,المحرر,2352,1697,83
5,بضم,الموحده,بفتح,وسكون,للترجمه,المهمله,مطابقته,المعجمه,الرا,بالافراد,2057,1843,78
6,يروي,روي,سمع,اسمعيل,عنه,يعد,البصريين,عداده,كنيته,البصره,2027,1179,87
7,سالته,اخيه,باس,الرجل,عبدالله,سالت,مصدق,الحرم,عمار,يصلح,1982,1318,63
8,اسباط,السدي,ثني,البقره,نجيح,قوله,مجاهد,ثنا,محكم,اخرون,1517,1242,58
9,وسمعت,ثقه,معين,سمعت,ليحيي,سالت,يقول,قلت,حنبل,حديثه,1494,926,216
10,ومنه,اي,يقال,نه,بالضم,النهايه,الاثير,والجمع,وفي,الشي,1437,1141,227
11,الهيثمي,طريق,المجمع,الزواد,والطبراني,الكبير,الطبراني,ضعيف,مجمع,اخرجه,1147,1039,143
12,يرو,تفرد,نعلمه,يروه,الاسناد,نعلم,بهذا,الا,نا,الحديث,1080,734,25
13,عبادك,اوحي,رب,الهي,ذكرني,فاوحي,ذكري,اشكرك,فاناديك,يا,977,644,324
14,كلام,مخلوق,الجهميه,كلم,كلامه,يتكلم,تكليما,الشجره,بصوت,متكلما,973,684,255
15,روي,سمعت,يقول,مجهول,بصري,زرعه,عنه,ذلك,سالت,وسمعته,939,801,15
16,ومحمد,وعبيد,وعبد,ويحيي,وعمرو,واحمد,وابي,واسحاق,وسعيد,والفضل,926,836,52
17,مجهول,منكر,الثقات,ضعفه,حبان,متروك,مناكير,حديثه,بخبر,عدي,907,649,83
18,السيرافي,الماوردي,غالب,خليفه,خياط,النهاوندي,عمال,عمران,نا,تسميه,891,867,6
19,رسول,هريره,وسلم,فشغله,صلي,حوشب,ثوبان,حدثنا,امتي,احدكم,878,605,281
20,غزوه,الخندق,المريسيع,خيبر,الرقاع,عقبه,المصطلق,الافك,شوال,اربع,854,729,172
21,الرزاق,وكيع,جريج,لعطا,طافه,روينا,المرتد,امراته,وقالها,المسيب,752,660,102
22,جده,ابيه,عليا,طالب,حدثني,اخبرنا,جعفر,الحسين,باب,الديه,705,238,12
23,مدينه,وبها,قريه,قبر,جبل,وادي,نهر,موضع,القلزم,واد,659,484,167
24,يكني,قرطبه,بقرطبه,وخمسماه,بلنسيه,وتوفي,بشكوال,وابي,وسمع,مرسيه,659,455,68
25,ثنا,دعلج,احمد,العميري,قال,انا,قالا,مسدد,ابنا,الفربري,626,531,36
26,الاشرف,العادل,الملك,الناصر,السلطان,مظفر,الكامل,حمص,الدين,المعظم,602,508,95
27,تحقيق,بيروت,الطبعه,دار,مكتبه,القاهره,العلميه,مطبعه,طبعه,الاسلامي,586,450,238
28,فرواه,واختلف,يرويه,وخالفه,وسل,ورواه,ووهم,وخالفهم,فرووه,مرسلا,556,452,90
29,طب,حم,هب,طس,عد,الديلمي,حب,هق,عساكر,مرسلا,554,503,26
30,وابي,وعبد,وسليمان,وعطا,وحذيفه,وايوب,وعاشه,وعمرو,وعاصم,وسعيد,523,490,80
31,المتوكل,السعد,ابادي,البرقي,الحميري,العطار,محبوب,اجلها,النوفلي,العله,522,335,54
32,وعنه,وثقه,وثق,وجماعه,بخ,معين,حبان,ثقه,المدني,وطافه,521,405,17
33,العتاهيه,الصولي,اخبرني,الفرزدق,حدثني,المرزباني,الكاتب,الشعر,البربري,الحرمي,519,430,116
34,جش,كوفي,النجاشي,جخ,ثقه,الكشي,واقفي,اصحاب,جليل,رجال,514,283,74
35,السمعاني,الوفاه,المديني,وسمع,السلفي,الاصبهاني,عساكر,والحافظ,الحازمي,وخمس,490,443,68
36,النسبه,اخرها,وسكون,وفتح,الالف,بفتح,الرا,قري,المهمله,اليا,453,414,14
37,بلفظ,رقم,سنن,والحديث,مسند,للطبراني,المعجم,برقم,سننه,الكبير,452,431,22
