Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
38,مبعوثا,خاصه,لم,اميرا,بابراهيم,يكن,اليهم,يكون,يبعث,افضل,95,80,58,"Noah's message/mission/Shari'a - often in relation to other Prophets - dominated by late, Mamluk-era texts"
39,يضلوا,تذرهم,فاجرا,يلدوا,كفارا,عبادك,انك,ديارا,الكافرين,تذر,92,87,73,
40,فبعث,واحده,فاختلفوا,اختلفوا,امه,كفارا,كانوا,الناس,النبيين,مبشرين,92,77,59,Noah's mission in relation to other Prophets - discussed in Tafsir
41,يرو,تفرد,نا,الحديث,حرب,حدثنا,لم,الا,الاسناد,ثنا,90,68,9,
42,شقاقي,يصيبكم,يجرمنكم,اصاب,ببعيد,قوم,انيب,منكم,واستغفروا,ودود,90,87,69,
43,انا,الحمامي,البقال,السمرقندي,اميه,اخبرنا,الفضل,انبانا,الحسن,حبيب,89,87,2,
44,وجعل,فيهن,نورا,تروا,طباقا,القمر,سماوات,سراجا,الشمس,سبع,87,82,62,
45,الشيخ,يخلف,ومنهم,زنغيل,وذكر,العزاب,زكريا,مزاته,وارجلان,وكان,86,79,26,
46,بشرع,متعبدا,شرع,وقيل,بشريعه,يتعبد,البعثه,فقيل,ثبت,متعبد,84,73,66,Discussion of Noah's Shari'a and how it relates to later Shari'a
47,بفضال,جبريل,فضال,عمر,حسنات,حدثتك,لبث,نفدت,اتاني,انفا,84,71,57,
48,وازدجر,فكذبوا,عبدنا,عسر,مجنون,الداع,الكافرون,مهطعين,فانتصر,وقالوا,82,79,63,
49,سنه,واربعون,الف,وبين,الاف,وماتا,الفا,خمسماه,وستون,واثنتان,82,66,52,
50,التنور,تنور,فار,الكوفه,فاركب,يفور,وفار,الما,نبع,حجاره,79,71,52,
51,وميكال,ورسله,وجبريل,وملاكته,ومنك,ميثاقهم,اخذنا,واذ,النبيين,العام,76,76,43,
52,واخرج,وابن,المنذر,جرير,حاتم,حميد,رضي,قتاده,اصابهم,الشيخ,73,64,16,
