,author_from_uri,ms-count
31,Ibn Yazid Mubarrad,1
161,Ibn Wahb Qurashi,1
160,Ibn Kaykaldi Calai,1
32,Ibn Jacfar Himyari,1
34,Ibn Muhammad Bayhaqi,1
35,Ibn Cabd Rabbihi,1
153,Nashwan Himyari,1
151,Ibn Hammad Khuzaci,1
149,Ibn Hasan Muhaqqiq Hilli,1
41,Ibn Abi Zamanayn Ilbiri,1
147,Ibn Abi Khayr Cimrani Yamani,1
42,Cubayd Allah Ibn Hassan,1
43,Ibn Tahir Maqdisi,1
144,Ibn Yahya Muzani,1
143,Sadr Din Ibn Abi Cizz Adhraci,1
44,Abu Cabd Allah Halimi,1
45,Cabd Karim Nahshali Qayrawani,1
138,Raghib Isbahani,1
136,Ibn Hazm,1
52,Muwaffaq Husayn Jurjani,1
214,Ibn Caquli,1
121,,0
