Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
18,واخبرنا,الصحيح,الحافظ,اخبرنا,الروذباري,اخبرناه,الاصم,العباس,فذكره,يعقوب,820,737,64,
19,يرو,تفرد,يروه,الاسناد,الا,نا,الحديث,بهذا,لم,مقدام,730,516,15,
20,اوحي,ذكرني,فاناديك,فاوحي,فاناجيك,الهي,رب,ذكري,مقبلا,جليس,700,505,260,
21,يكني,قرطبه,بقرطبه,وخمسماه,بلنسيه,وتوفي,بشكوال,وابي,وسمع,مرسيه,684,456,74,
22,وكيع,الرزاق,جريج,طافه,المرتد,المسيب,هشيم,باسا,روينا,امراته,665,597,98,
23,شريعه,التواتر,النسخ,نسخ,شرع,شرعه,نبوه,اليهود,بشريعه,بالسبت,649,477,223,
24,غزوه,الرقاع,الخندق,المريسيع,خيبر,ذات,المصطلق,الافك,عقبه,اربع,648,574,144,
25,ثنا,دعلج,احمد,العميري,قال,انا,قالا,مسدد,الباب,الحميدي,639,543,36,
26,مجهول,منكر,متروك,ضعفه,بخبر,حبان,الدارقطني,ضعيف,كذاب,الثقات,633,467,58,
27,حدثناه,حديثه,يتابع,ادم,منكر,البخاري,بصري,سمعت,كوفي,بشي,556,459,22,
28,والشافعي,والاوزاعي,وعطا,والنخعي,الوضو,والثوري,ينقض,وابن,وبه,وابي,539,473,152,
29,دهبل,الفرزدق,العتاهيه,انشدني,اخبرني,الصولي,قصيدته,حدثني,الحرمي,الشعر,538,448,116,
30,القلب,النفس,التجلي,تجلي,الحق,الروحانيه,مقام,الروح,البشريه,الصفات,519,417,125,
31,طب,حم,هب,طس,الديلمي,عد,هق,حب,مرسلا,عساكر,518,471,23,
32,المرزباني,المسلمه,الكاتب,الصولي,خاقان,العينا,ديسم,الفتوح,العتاهيه,اخبرني,503,473,70,
33,الرب,المسيح,التوراه,السفر,يسوع,الشعب,اليهود,الاصحاح,قبه,اسرايل,494,355,151,
34,سماع,رشد,العتبيه,اشهب,سحنون,رسم,المدونه,المجموعه,مساله,القاسم,493,409,60,
35,تحقيق,بيروت,دار,الطبعه,مكتبه,العلميه,القاهره,مطبعه,تاليف,طبعه,474,382,202,
36,وعنه,وثقه,وثق,بخ,وجماعه,معين,حبان,المدني,ووثقه,ثقه,470,363,13,names - incl isnads
37,فليح,تسميه,فاروق,بدرا,شهد,الانصار,المسيبي,الخطابي,الخليل,شهاب,455,373,17,
38,عقب,الكاظم,اولاد,اعقب,الاصغر,ولد,فعقبه,اعقاب,المعقبين,الجون,445,207,29,
39,وجابر,وانس,والبرا,وسعد,وحذيفه,وابي,وعاشه,وزيد,وابو,وعبد,434,364,199,
40,النسبه,اخرها,وسكون,وفتح,الالف,الرا,قري,بفتح,المهمله,اليا,420,390,18,
41,السيرافي,الماوردي,خليفه,غالب,عمال,خياط,تسميه,النهاوندي,عزله,عمران,398,393,6,
42,جده,ابيه,عليا,حدثني,اخبرنا,جعفر,الحسين,الديه,زوجها,باب,395,165,1,
43,وج,يروي,غسان,الصفحه,البصري,مجهول,حديثه,كوفي,الكوفي,اسمه,390,332,188,isnads
44,فرواه,واختلف,وخالفه,يرويه,وسل,وخالفهم,ورواه,فرووه,ووهم,مرسلا,389,332,62,
45,الخصيب,الوالي,ناصر,انا,اجازه,قرات,الحكاك,عبدان,انبانا,طاهر,379,319,4,
46,مجاشع,اسناده,صحيح,شرط,الصحيحه,الزجر,الشامله,بيانات,الشيخين,المسسه,374,343,30,
47,السمعاني,وسمع,المديني,عساكر,الحازمي,وخمس,والحافظ,السلفي,وخمسماه,وابا,368,336,60,
48,تلمسان,حمو,السلطان,فاس,زيان,تاشفين,بجايه,مرين,عنان,يغمراسن,362,312,37,
49,لعلي,بمنزله,مني,ترضي,بعدي,نبي,تكون,وقاص,عميس,انت,361,262,148,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
50,البيهقي,الدارقطني,طريق,والبيهقي,مرفوعا,الحاكم,ورواه,والدارقطني,الاوسط,الطبراني,352,334,112,
51,حنيفه,خسرو,مسنده,ورواه,المقري,واخرجه,الاشناني,البلخي,حمدان,خيرون,327,273,30,
52,الرقم,المغازلي,مناقبه,الورق,ترجمه,مناقب,مردويه,تحت,الكتب,الحسكاني,324,272,31,
53,فسطاطه,فاضرط,وفيك,قثنا,رفرف,وفسطاطي,لوددت,لحقوا,بمعاويه,ذر,321,269,161,
54,القاهري,ويعرف,الشهاب,وسبعماه,ونشا,وثمانماه,الماضي,الدين,ولد,الشافعي,320,303,45,
55,اسباط,السدي,قوله,والوجه,محكم,الطوسي,الاشج,ورقا,نجيح,شبابه,315,299,7,
56,الالف,الادغام,نحو,اليا,الواو,مفعل,الساكنين,همزه,الساكن,قبلها,315,257,119,
57,الاشرف,العادل,الملك,الناصر,الكامل,حمص,مظفر,المعظم,شيركوه,دمشق,313,279,65,
58,فوقع,عاليا,بدلا,بدرجتين,موافقه,لنا,بعلو,فوافقناه,واخرجه,عاليه,310,235,77,
59,واحمد,والقاسم,وابو,ومحمد,وجعفر,والحسن,الرازي,وعبدان,وزكريا,وابراهيم,307,296,42,
60,وثنا,وحدثنا,الحميدي,غنام,الطلحي,فاروق,ثنا,الصواف,بشر,القعنبي,299,267,19,
61,تفرد,غريب,وتفرد,حديث,يروه,الحديث,به,وغريب,عنه,نكتبه,286,250,17,
62,الباقون,ذكوان,والكساي,باليا,وقرا,وحمزه,بالتا,اليا,الاخفش,قرا,285,240,29,
63,الجرح,تهذيب,والتعديل,الكمال,التهذيب,التقريب,الكاشف,كني,الثقات,الاعتدال,283,226,55,
64,اوله,مفتوحه,ساكنه,مثناه,وسكون,تليها,انتهي,بالفتح,وبفتح,الموحده,275,248,16,
65,الجراد,القمل,فكشف,الضفادع,فدعا,عنا,ادع,فارسل,يكشف,ونرسل,275,158,72,
66,ثني,اسباط,السدي,البقره,نجيح,اخرون,مجاهد,المثني,حدثت,حدثني,266,259,2,
67,وبها,مدينه,قبر,القلزم,مراحل,نهر,ومدين,مدين,وهي,قريه,261,212,84,
68,فصامه,عاشورا,بصيامه,يصومون,نصومه,فنحن,احق,بموسي,شكرا,نجي,258,222,154,Hadith - Jews fasting on Ashura b/c of Moses and drowning the Pharoah - fasting to thank God
69,بمنزله,بعدي,مني,مولاه,لعلي,النبوه,نبي,منازل,انت,واله,251,209,149,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
70,ينش,بنبيذ,الحاط,مخيمره,اضرب,فسبح,جر,الحمادان,شراب,باسم,251,218,119,Isnad
71,اذنا,اجازه,اخبرنا,الكوشيدي,نعيم,منده,كتابه,الثلاثه,اورده,ريذه,244,232,19,
72,بامامه,الامامه,القطعيه,يمت,الواقفه,الاماميه,الممطوره,بامامته,الاسماعيليه,عشريه,240,166,94,
73,السيرافي,الماوردي,غالب,خليفه,خياط,وماه,النهاوندي,انبانا,السمرقندي,وفيها,237,235,2,
74,الطبراني,ورجاله,الاوسط,وبقيه,وفيه,رجاله,رجال,ثقات,والاوسط,رواه,237,232,18,
75,طيب,طعمها,يقرا,الاترجه,وريحها,وطعمها,ومثل,التمره,الممن,كمثل,236,200,144,Hadith from Abi Musa
76,القراه,عرضا,مقر,قرا,مب,غا,الحروف,الاخفش,الداني,شنبوذ,235,210,27,
77,مات,وماه,وماتين,ومه,وثمانين,سنه,وفيها,اربع,ومات,وتسعين,234,185,49,
78,مهرويه,ابيه,الرضا,القزويني,الغازي,الحسين,جعفر,الحسني,طالب,حدثني,227,194,80,
79,الوفاه,وعنه,وجماعه,توفي,بغدادي,سمع,واخرون,حرف,الخطيب,البغدادي,227,207,8,
80,جده,الاشعث,ابيه,بيد,واباهما,جعفر,طالب,احبني,بمصر,الديباجي,222,182,104,
81,سماعا,انبانا,اخبر,اجازه,مشافهه,بسماعه,المقدسي,السلفي,اذنا,القادر,211,167,64,
82,ابنه,فابنه,وبعده,والحسين,العابدين,وجعفر,وبعد,والحسن,المنتظر,الباقر,208,166,105,
83,المهدي,الهادي,المنصور,وماه,الرشيد,خلافته,بويع,وشهرا,وامه,وبويع,204,174,99,
84,اخبرهم,مردويه,الذكواني,ابنا,باصبهان,رجا,الخباز,المدب,الخير,التميمي,203,186,26,
85,افتقد,انباني,ازهر,فاتاه,ولكنكم,تستعجلون,علمه,الذب,غنمه,خانت,200,183,121,Isnad
86,يخرجاه,شرط,الشيخين,صحيح,الاسناد,لغطه,المحبوبي,ولم,انبا,حمشاذ,192,184,33,
87,فنكاحها,نكحت,باطل,وليها,ايما,اذن,بولي,نكاح,بغير,فلها,191,165,115,
88,ورقه,ليتني,يخرجك,الناموس,جذعا,اخيك,يات,مخرجي,اكون,فاخبره,185,166,140,Hadith  concerning the laws (Namus) that were sent down to Moses
89,مطاعن,الحسني,طالب,ادريس,حسين,الحسيني,الشريف,زين,الكريم,المكي,185,169,62,
90,واربعماه,بقزوين,الكثير,واربع,سمع,بنيسابور,بروايته,الصوفي,وسمع,السمعاني,181,173,37,
91,الالباني,الجامع,حكم,انظر,رقم,صحيح,ضعيف,حم,طب,حديث,181,172,1,
92,الجماعه,طريقين,المدني,صحيحين,البرلسي,المذن,شيخ,واخرجه,اخره,فاخرجه,179,174,14,
93,كاف,والتمام,تام,قطع,تمام,وكذا,التمام,تم,الوقف,ومثله,178,150,8,
94,وابا,المظفر,بنيسابور,ولادته,شيخا,نيسابور,الشيرازي,وخمسمه,المحمي,الواحدي,178,169,13,
95,وخلق,معين,ووكيع,وعنه,ويحيي,واخرون,وغيرهم,وعبيد,وهشام,وجماعه,176,168,21,
96,الفاعل,زيدا,المفعول,نحو,ضرب,عمرا,والمفعول,تقديم,اللبس,الفعل,172,155,73,
97,حدثني,الطاي,الرضا,الحسين,مهرويه,عامر,جعفر,ستين,الباقر,الغازي,171,153,72,
98,كناه,شباب,خياط,المنقري,مهران,خليفه,يعني,البصري,البصريين,العدوي,170,144,8,
99,ترضي,تبوك,والصبيان,اتخلفني,تخلفني,بمنزله,بعدي,تكون,غزوه,مني,163,146,105,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
100,الحوت,يوشع,سربا,سبيله,نسيا,الصخره,نسيت,حوتهما,فاتخذ,جاوزا,163,133,75,
101,خريم,الحديد,السمسار,نا,جدي,عوف,انا,المسلم,الكتاني,عبدالعزيز,163,161,9,
102,اوتي,يكفروا,سحران,تظاهرا,ساحران,لولا,اولم,كفروا,يكلمنا,ورسلا,163,149,56,
103,وقرا,قرات,واخبره,قرا,وقرات,شنبوذ,الشذاي,قالون,الاخفش,الداجوني,163,123,24,
104,عجيل,تفقه,فقيها,الفقيه,زبيد,العمراني,عارفا,اتحقق,والفقيه,جعمان,163,139,36,
105,جده,طالب,ابيه,اخبرنا,الحسين,حدثني,جعفر,اسماعيل,تعوذ,الدعا,161,70,2,
106,خبر,الاستذان,الجده,رد,مسلمه,ميراث,وقوي,يقبل,الخدري,بموافقه,159,146,93,
107,ابردوا,بالظهر,فيح,مثله,تجدون,للمسافر,ليلي,وللمقيم,معقل,الهياج,159,148,70,Isnad
108,نبرح,عاكفين,فاتبعوني,فتنتم,واطيعوا,ربكم,اسفا,امري,استضعفوني,يقتلونني,158,144,77,
109,الكتب,البحار,الصفحه,بحار,الانوار,الكافي,الوسال,التهذيب,الاستبصار,مستدرك,154,137,69,
110,يكبر,تكبيره,وحذيفه,والفطر,اربعا,الاضحي,العيد,التكبير,العيدين,تكبر,151,128,93,Abu Musa - Isnad
111,فاحسن,اجران,تاديبها,يتون,فادبها,اعتقها,تعليمها,اجرهم,وعلمها,بنبيه,151,138,111,Abu Musa - Isnad
112,الالتقا,الاستخراج,موضع,تخريجه,انظر,فواد,رقم,ملتقي,تخريج,برقم,151,85,8,
113,العاشره,مقبول,صدوق,السادسه,السابعه,التاسعه,الحاديه,تمييز,الرابعه,الثامنه,149,108,8,
114,سمعت,يقول,الملطي,الشبلي,ابا,الاسكندراني,حاتما,الصوفي,ملقي,اللفاف,149,134,29,
115,جش,جخ,كوفي,واقفي,المنقطه,ثقه,نقطتين,ضا,النجاشي,القميون,146,107,23,
116,والزبيب,والشعير,الحنطه,والتمر,العشر,والحنطه,الصدقه,سقت,سقي,بعثهما,145,126,87,
117,كعريش,عريش,السقف,اعجل,والاذخر,فطين,يكف,وسقفه,المسجد,الامطار,143,126,99,
118,البطحاني,الشجري,الرسي,الاحمدي,الشهيد,الجون,الامير,الاطرف,النسابه,الاثيني,143,79,7,
119,هادوا,يهدون,والانجيل,اسلموا,وكلماته,يعدلون,يحكم,التوراه,بالحق,للذين,142,134,69,
120,النظم,الالتفات,تتق,والملتفت,والسلام,يوبخه,السال,الانكار,للناظرين,القاهم,141,138,44,
121,اوذي,فصبر,باكثر,لقسمه,قسمه,فاخبرته,فساررته,اريد,فاتيته,قسما,141,135,70,Hadith - Moses suffered more than that but he was patient
122,ينام,القسط,ويرفعه,يخفض,يرفع,ينبغي,فينا,كلمات,باربع,بخمس,140,115,97,Isnad - Abu Musa
123,حدثهم,واخبرني,اخبرني,الطنبور,سل,مشيش,الذمي,سالت,بالالحان,يعجبني,139,103,18,
124,درنه,يخبث,اغتيب,اعجل,نصره,تجبنوا,مظلومكم,جناحاها,مواريثكم,وامنعوا,138,118,95,Isnad
125,حجاب,وحيا,يرسل,يكلمه,لبشر,فيوحي,ورا,رسولا,باذنه,يشا,137,118,101,
126,بغا,المعتمد,الزنج,مفلح,الاهواز,سامرا,الموفق,طولون,لحرب,وفيها,135,125,29,
127,وبشره,بالجنه,حاط,والطين,افتح,حاطا,يستاذن,حيطان,فجا,وامرني,135,111,81,Abu Musa - Isnad
128,فحج,باربعين,يخلقني,فغوي,اخلق,افتلومني,اعمله,تلومني,ادم,عملت,135,118,93,Hadith - interaction between Adam and Moses - proofs
129,عنوه,فافتتحها,صلحا,فتحت,الاهواز,الرها,افتتح,وفتحت,وافتتح,ففتحها,134,114,58,
130,اخبرتهم,ابنا,اخبرهم,فاطمه,ريذه,باصبهان,الصيدلاني,الطبراني,الجوزدانيه,حاضر,133,129,10,
131,راشد,عقل,العمد,شاوا,لبون,فديته,مخاض,ديه,شعيب,وثلاثون,132,121,51,Isnad
132,الشريف,العابدين,الباقر,المرتضي,الكاظم,الصادق,الموسوي,طالب,زين,نقيب,132,126,74,
133,وثلاث,الثلاج,ماه,وثلاثماه,حدث,الخطيب,وحدث,بغداد,وابا,وجماعه,131,127,21,
134,يكمل,كمل,الثريد,كفضل,واسيه,النسا,وفضل,الرجال,مره,امراه,130,124,91,Abu Musa - Isnad
135,تصبهم,يطيروا,سيه,الحسنه,جاتهم,طارهم,بموسي,الخصب,يتشاموا,اصابنا,130,125,82,
136,الفضلا,واجاز,الابي,وحدث,وحدثت,وسمع,وسبعماه,الصالحي,المقدسي,شيخنا,130,126,37,
137,تنفرا,تعسرا,وبشرا,وتطاوعا,يسرا,تختلفا,ومعاذا,اليمن,ويسرا,معاذا,129,122,89,Abu Musa - Isnad
138,بكتابه,كتاب,نوادر,كوفي,جماعه,خورا,اصحابنا,المفضل,بطه,جيد,129,92,7,
139,نوفا,يزعم,البكالي,عدو,كذب,خطيبا,لابن,الخضر,جبير,كعب,129,120,78,Hadith - discussion that Moses is not the banu Israel
140,الحليفه,بذي,معرسه,ببطحا,مباركه,طوي,يعتمر,منحر,معرس,الثنيتين,129,121,46,
141,الابل,الديه,ديه,الاصابع,فقوم,ادركنا,اصبع,سوا,الموضحه,الاجناد,127,119,57,
142,باياتنا,فاستكبروا,بعثنا,عالين,ومله,وسلطان,ادوا,ارسلنا,بعدهم,واخاه,126,120,49,
143,بدران,القادر,المخلص,البسري,ويوسف,البنا,طاهر,وقرات,البغوي,انبانا,126,116,37,
144,الشفق,وقت,ثلث,الليل,العشا,المغرب,الفجر,وقتها,الشمس,صلاها,120,104,64,
145,بسنده,حدث,مه,بدمشق,وحدث,دمشق,ومتين,وثلاث,وبغيرها,البغدادي,120,114,7,
146,ينبا,وازره,صحف,تزر,وزر,اعنده,للانسان,سعي,الغيب,يجزاه,119,108,81,
147,بالاصل,النسخ,الاصل,والمثبت,سد,المطبوع,طمس,ساقطه,عم,نسخه,119,114,64,
148,عقده,اباه,واله,وبالاسناد,يعبهم,للحرب,الحفار,العلوي,الرضا,الصلت,119,99,52,
149,امتك,خمسين,التخفيف,وليله,حسنها,ينعتها,بلوت,ارجع,تغيرت,فرض,118,109,98,
150,لاظنك,بينات,مسحورا,قتورا,لامسكتم,ايات,بصار,الانفاق,والضفادع,والجراد,116,107,79,
151,الوسال,ابواب,الروايه,الباب,كفارات,التهذيب,وسندها,هكذا,والسند,الطواف,116,103,10,
152,بالفتح,السكون,قريه,موضع,واد,واخره,اوله,قرب,قري,نواحي,115,115,25,
153,والشيخ,الدين,وشمس,وشهاب,الشيرجي,وبدر,القلقشندي,والجمال,وتقي,ومحمد,115,103,48,
154,وقرا,ويذرك,الباقون,ليفسدوا,والكساي,التا,اتذر,والهتك,وكفلها,الفساد,115,114,43,
155,قبضها,قبضه,قسامه,خلق,والابيض,فجا,والاسود,قدر,ادم,والسهل,115,106,96,
156,قاسم,اصبغ,الوارث,وضاح,زهير,وحدثنا,سفيان,نصر,محبوب,الفزاري,114,111,11,
157,تستمعون,موقنين,اباكم,لمجنون,ورب,كنتم,تعقلون,رسولكم,حوله,الماهيه,114,99,77,
158,وراشد,الصلت,عمان,تولاه,لراشد,يبرا,عزان,الولايه,الامامه,الاحداث,114,95,23,
159,بخ,خت,وسليمان,مد,سي,واسماعيل,وايوب,وعمروبن,وكثير,وهشام,112,108,2,
160,المامون,الامين,لابنه,المنابر,خلع,بالدعا,للمامون,الناطق,العهد,والبيعه,112,99,44,
161,واسكنك,خلقك,واسجد,ملاكته,ونفخ,جنته,ادم,روحه,اصطفاك,فيك,111,96,77,Hadith - interaction between Adam and Moses - proofs
162,مزمارا,مزامير,الصوت,تحبيرا,لحبرته,بالقران,صوته,زينوا,باصواتكم,استمع,111,105,85,
163,الموطا,ساقطه,ومسلم,المشارق,البخاري,والبخاري,حديث,مسلم,والمثبت,الخطيه,111,103,2,
164,مقاله,السريانيه,جالينوس,مقالات,العربيه,وترجمه,وغرضه,حبيش,ترجمته,لمحمد,110,80,22,
165,سقيت,ليجزيك,يدعوك,استحيا,تمشي,فجاته,اجر,ثوبها,يتبعها,احداهما,108,97,79,
166,نصراني,تتخذوا,خونهم,نصرانيا,بطانه,قاتلك,دونكم,اقصاهم,تدنوهم,كاتبا,107,102,77,
167,ومعها,بالخاتم,الكافر,الدابه,وخاتم,كافر,تخرج,انف,فتجلو,بالعصا,106,100,88,
168,وليها,وحج,ومايه,بالناس,خلون,الاحداث,وسبعين,وماه,العباسي,صرف,105,96,30,
169,طلحه,جدي,سفرجله,فاوسعوا,ايوب,سليمان,مظعون,سماني,الطلحي,دونكها,105,92,59,
170,وايوب,وسليمان,وعطا,واسماعيل,ومكحول,وعبد,وعمرو,وحنظله,والزهري,الشامي,105,105,18,
171,المتكلمين,وكتاب,المعتزله,بلال,المتكلم,التصانيف,المرزباني,الاشعريه,الرد,سالم,105,100,71,
172,يفلته,للظالم,ظالمه,اخذه,القري,ليملي,اخذ,يملي,ربك,وكذلك,103,93,95,
173,والباب,السابقين,رقم,طريق,صحيح,البخاري,اطرافه,طرفه,كتاب,بريد,103,93,5,
174,الصدفي,الطاهر,الرحمان,الاعلي,المديني,النحاس,البزاز,اسمع,الخلعي,يونس,102,81,19,
175,يحلف,الانجيل,بالله,والنصراني,انزل,ويحلف,اليهودي,النصراني,ويستحلف,اليمين,102,97,82,
176,الباقر,باس,الصادق,الرضا,الامام,جعفر,فلا,اذا,نعم,يعتد,102,46,2,
177,بابويه,المجلس,القمي,الجليل,وثلاثماه,مجلس,وستين,الثلاثا,الطاهرين,وحسبنا,101,101,8,
178,فقاتلا,وربك,قاعدون,مقاتلون,اذهب,نقول,المقداد,امض,الغماد,برك,101,98,80,
179,الجليس,المسك,الكير,ونافخ,كحامل,يحذيك,فحامل,السو,تبتاع,ريحه,100,93,80,
180,البغوي,الجهم,شريح,الليث,الفارسي,الباهلي,العلا,انبا,املا,راني,100,91,37,
181,الرجفه,جهره,فاخذتهم,اهلكتهم,يعتذرون,واياي,نري,فماتوا,نمن,الصاعقه,99,80,51,
182,بمنزله,ترضي,مني,لعلي,بعدي,واخبرناه,فاخبرناه,نبي,تكون,السمرقندي,99,59,9,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
183,بفتح,المهمله,بضم,وسكون,الموحده,وبالموحده,المعجمه,القاف,التحتانيه,واسكان,99,98,12,
184,وهلي,اهاجر,نخل,هجر,اليمامه,المنام,فذهب,يثرب,ارض,مكه,98,92,62,
185,ونبي,والحاشر,والمقفي,الرحمه,الملحمه,العاقب,التوبه,حفظنا,الحاشر,اسما,98,87,83,
186,اغفر,واسرافي,وجهلي,خطيتي,اللهم,اخرت,امري,يدعو,وعمدي,اسررت,98,93,78,
187,تمنها,عبدت,نعمه,وليدا,وتلك,نربك,فينا,الضالين,فعلتها,الكافرين,96,75,52,
188,الجز,الصفحه,رقم,اسناد,شاهد,ومتنه,لضعف,مسنده,ضعيف,رجاله,96,90,2,
189,جنتان,انيتهما,وجنتان,فيهما,فضه,ينظروا,وانيتهما,ذهب,حليتهما,للسابقين,96,87,70,
190,اهللت,بالبطحا,كاهلال,باهلال,احججت,منيخ,قدمت,طارق,لبيك,حرج,95,92,57,
191,والسابق,السابقون,والسابقون,وسبق,سبق,ياسين,يس,الصديقون,افضلهم,يوشع,95,86,63,
192,الموحده,بضم,الرا,وسكون,بريد,وفتح,اسامه,برده,مصغرا,التحتيه,94,94,7,
193,ليفسدوا,اتذر,ويذرك,والهتك,سنقتل,قاهرون,ونستحيي,ابناهم,الملا,فوقهم,93,87,58,
194,انبانا,العتيقي,مسعده,العشاري,العقيلي,الحريري,المظفر,الدخيل,خيرون,فانبانا,93,89,6,
195,مضح,بالجعد,فذبحه,يتخذ,ضحوا,ضحاياكم,يكلم,علوا,خليلا,القسري,93,89,54,
196,كرهها,سلوني,حذافه,ابوك,شتم,غلمه,اشيا,غضب,فنام,فحضر,93,92,39,
197,رموز,لينتفع,بذكرها,ترجمتها,اكتفا,الكمال,مختصره,مفتاح,تهذيب,زادا,93,61,1,
198,وصحبه,الفراغ,الفقير,وصلي,سيدنا,الحمد,والحمد,بمنه,تسليما,ولجميع,92,81,72,
199,يجد,اجنب,شهرا,شقيق,يتيمم,ارايت,الما,جالسا,التيمم,تصنع,91,76,66,
200,البحر,فانفلق,بعصاك,بعصاه,اضرب,ضربك,فضربه,كذبت,كالطود,واوحي,90,82,57,
201,رضاع,ثديها,العظم,الرضاع,حرمت,رضاعه,امراتي,الحولين,الرضاعه,تفتي,89,79,59,
202,ليتوب,مسي,مغربها,يبسط,تطلع,بالنهار,ويبسط,بالليل,النهار,يده,89,84,79,
203,المتوفي,لابي,شرح,لابن,للقاضي,النوازل,تفسير,لعبد,مسال,للحافظ,89,69,45,
204,ذاب,يذوب,الرصاص,ووضاته,حبات,بخطيب,مخارقا,والدي,وسراويل,يحفل,89,87,48,
205,مرحبا,بالاخ,المجي,خلصت,يبكيك,فسلمت,فاستفتح,بكي,ابكي,الصالح,88,83,81,
206,فاري,يمين,احلف,غيرها,يميني,خيرا,كفرت,واتيت,وتحللتها,خير,87,85,62,
207,واخوان,مهاجرين,فخرجنا,مخرج,رهم,اصغرهم,بلغنا,باليمن,سفينتنا,ونحن,87,87,56,
208,فيهن,نقبر,ساعات,ينهانا,موتانا,نصلي,الشمس,بازغه,للغروب,وحين,87,77,63,
209,القطيعي,حمدان,قراه,الجوهري,هوذه,اسمع,المحاملي,الاسدي,ابنا,انبا,86,70,50,
210,تسليه,بالمعجزات,مسرف,والتعريض,مسرفا,الاتيان,الرمز,الكليم,المنفعه,مرتكبهم,86,86,25,
211,انواط,اجعل,ذات,لتركبن,الهه,قبلكم,اسلحتهم,قلتم,الها,سنن,86,80,69,
212,مجيد,باركت,صل,وبارك,قولوا,موهب,صليت,ال,عليك,نصلي,85,69,50,
213,يحتلبها,شرحه,الكشميهني,روايه,والاسماعيلي,ووقع,ومميز,شرطيه,لاتصدقن,شاذه,84,83,17,
214,وابي,سي,بخ,الغفاري,فق,وثابت,الاشعري,وابيه,وعبد,النخعي,84,83,4,
215,ياتيكم,التابوت,تحمله,ملكه,سكينه,نبيهم,لايه,وبقيه,ممنين,ربكم,84,78,69,
216,بقراتي,صمصام,الجرده,الخوعي,معرض,شرويد,املا,دحي,الفرخان,شاصونه,83,77,46,
217,وسقط,قوله,ذر,الكشميهني,للقابسي,للباقين,الترجمه,روايه,فسعيت,وسياتي,83,82,10,
218,نودي,البقعه,المباركه,الايمن,شاط,اتاها,الواد,الشجره,تصطلون,الوادي,83,81,65,
219,خمسا,يعملها,كتبت,بحسنه,حط,ازل,ارجع,عملها,التخفيف,عني,82,77,71,
220,قضاها,وعلي,والطاف,واعمالها,الكوفه,واليمامه,عزل,وارضها,والبحرين,البصره,82,79,14,
221,ادخل,الجنه,ابجر,فيقال,ادني,منزله,يجي,منازلهم,واخذوا,فيقول,82,77,68,
222,الدين,شرف,عوضا,تدريس,وفاه,المدرسه,واقفها,بدمشق,ومات,وناظر,81,76,25,
223,النصف,وللاخت,للابنه,واخت,ضللت,وات,هزيل,فسيتابعني,شرحبيل,المهتدين,80,75,68,Noah's mission - it's relation to other Prophets
