Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
-1,حدثنا,نا,اخبرنا,ثنا,بن,قال,عن,ابو,تعالي,الله,201322,14243,4286,
0,حب,كلاهما,كم,عه,خز,طح,وعن,حم,ثلاثتهم,مي,5572,3565,55,
1,بدرا,منده,شهد,اخرجه,ذكره,الصحابه,صحبه,اورده,فيمن,مختصرا,4002,2375,161,
2,سالته,اخيه,المتوكل,السلام,محبوب,سالت,الرجل,باس,عبدالله,العمركي,3999,1711,142,
3,المذهب,وقدمه,الفروع,الاصحاب,الخرقي,اختاره,وجزم,واختاره,ظاهر,الزركشي,2895,1952,128,
4,الدين,ين,المكي,العباسي,محمد,محمود,شمس,هبه,يوسف,منصور,2659,1251,352,Isnad
5,يروي,روي,سمع,عنه,اسمعيل,يعد,البصريين,عداده,كنيته,مولي,1887,1142,90,
6,الهيثمي,طريق,الزواد,المجمع,اخرجه,والطبراني,ضعيف,الطبراني,المسند,الالباني,1659,1458,193,
7,يوشع,لاوي,لوفاه,ملك,قاهث,التيه,يصهر,اسرايل,نون,العماليق,1505,840,289,
8,ومنه,اي,النهايه,يقال,الاثير,بالضم,نه,والجمع,وفي,بالكسر,1482,1159,233,
9,فيا,الوري,تام,ذا,الانام,الكليم,الدهر,الهوي,وانشدني,البحر,1327,760,392,
10,امير,الممنين,المنصور,فقلت,المهدي,الرشيد,الهادي,فقال,فلما,لي,1308,894,304,
11,كلام,مخلوق,كلم,الجهميه,كلامه,متكلما,يتكلم,تكليما,كلاما,الشجره,972,690,249,
12,ومحمد,وعبيد,وعبد,ويحيي,واسحاق,وابي,واحمد,وسعيد,وعمرو,واسماعيل,967,872,54,
13,ثقه,وسمعت,معين,ليحيي,سالت,سمعت,وسالته,قلت,حنبل,وسل,954,633,172,
14,روي,سمعت,يقول,مجهول,بصري,زرعه,عنه,ذلك,سالت,وسمعته,932,796,17,
15,البرقاني,الازهري,الاردبيلي,سمعت,البرذعي,الصيرفي,النجم,يقول,اخبرنا,رزق,918,777,100,
16,الحكمين,الكوفه,الاشتر,العاص,عليا,رضينا,الشام,يلهث,الخوارج,الجندل,891,584,188,
17,بلفظ,رقم,والحديث,المعجم,مسند,للطبراني,سنن,سننه,برقم,الكبير,891,838,65,
