Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount
-1,حدثنا,لا,ان,قال,ابو,كان,في,عليه,قول,بن,150217,12671,3974
0,السلطان,الناصر,الامير,صلاح,حلب,الملك,قرا,الدين,الاشرف,دمشق,2519,1638,140
1,تحقيق,بيروت,الطبعه,دار,مكتبه,العلميه,طبعه,مطبعه,القاهره,الكتب,2222,1148,424
2,النسخه,نسخه,اللامع,برقم,الضو,المتوفي,تاريخ,انظر,رقم,الكتاب,1778,785,658
3,النعيمي,المليحي,الواحد,نا,انا,اسماعيل,اخبرنا,صحيح,اليمان,احمد,1653,1182,59
4,العراق,الكوفه,القسري,الحجاج,الوليد,خراسان,مروان,فكتب,الثقفي,خالدا,1630,1089,263
5,طريق,اخرجه,ضعيف,الهيثمي,رواه,متروك,الطبراني,واخرجه,والبيهقي,رقم,1571,1248,248
6,المقر,واخبرنا,السوسي,اخبرنا,الصحيح,اسحاق,يعقوب,الحسن,حدثنا,فذكره,1422,1214,60
7,تاشفين,تلمسان,مراكش,حمو,الاندلس,الموحدين,مرين,فاس,زيان,الممن,1303,967,118
8,يزيد,ورقه,يحيي,ابو,فهرس,حبيب,يعقوب,يعلي,ابراهيم,الحسين,1105,733,214
9,عه,حب,وعن,حم,خز,طح,مي,ثنا,كلاهما,كم,1094,971,9
10,نحو,حذف,كقوله,الندا,حرف,المضاف,الفعل,تفتا,اللام,تالله,1004,754,223
11,اي,رحمهما,رحمه,وقالا,عندهما,وبه,القدوري,لان,عند,ولهما,955,854,2
12,يكني,قرطبه,بلنسيه,اهل,بقرطبه,وتوفي,ببلده,اشبيليه,القراات,حافظا,895,555,80
13,انبانا,مسعده,العتيقي,العقيلي,عدي,حمزه,فانبانا,الوهاب,نا,الدخيل,809,554,30
14,وابا,وابي,الخالق,وخمسماه,الحصين,القادر,وسمع,سمع,وحدث,وخمس,793,619,59
15,البحر,قلبي,الوري,تام,وكم,كانما,يا,البدر,الهوي,كيوسف,790,525,207
16,ديوانه,سوره,وشرح,البيت,اللسان,واللسان,وانظر,التذييل,ينظر,شرح,697,638,98
17,انا,خليل,الدشتي,الحافظ,اخبرهم,الحداد,عاليا,قرات,بدران,فاذشاه,641,473,86
18,ثني,نجيح,مجاهد,ورقا,وكيع,السدي,قتاده,ثنا,المثني,التاويل,619,401,32
19,سماعا,انبانا,اجازه,مشافهه,وانبانا,اذنا,بسماعه,حضورا,خليل,عاليا,617,394,86
20,الاخريين,صلاته,الشفع,السهو,التشهد,التحريمه,تفسد,الاوليين,الركوع,المقتدي,591,435,45
21,البقره,الباقون,الهمزه,اليا,والباقون,وو,والكساي,ورش,الاعراف,الانعام,589,364,47
22,النسبه,اخرها,وسكون,بفتح,وفتح,المهمله,المعجمه,تحتها,الرا,قريه,502,448,26
23,الاخت,لاب,السدس,الاخ,الجد,الاب,الام,المال,والام,للابن,498,358,71
24,يحكم,شهاده,بعلمه,الشهاده,المدعي,الخصم,الوكاله,يقبل,شهادته,يشهد,485,422,82
25,طالق,الطلاق,انت,تطلق,واحده,يقع,ثلاثا,طلقت,لامراته,نوي,468,377,42
26,مسنده,ورواه,خسرو,واخرجه,حنيفه,الاشناني,البلخي,رضي,اخرجه,طلحه,465,367,29
27,وثنا,وحدثنا,ثنا,حبيب,فاروق,الطلحي,خلاد,شعبه,غنام,رواه,464,405,23
28,السلام,بصير,واله,زراره,فداك,محبوب,ووهيب,اصحابنا,جعفر,عده,437,367,82
29,للترجمه,مطابقته,هناك,والحديث,مضي,ومضي,قوله,اخره,اخرجه,ظاهره,437,429,19
30,بقراه,وصح,الجز,بسماعه,العالم,مجالس,بحق,السماع,الامام,المسمع,436,204,150
31,ساكنه,وسكون,مهمله,مفتوحه,مكسوره,مثناه,نسبه,اوله,الموحده,انتهي,417,360,44
32,والاوزاعي,والثوري,ثور,واسحاق,وعطا,ومالك,والشافعي,والحسن,وابن,والليث,411,392,92
33,الساج,المقتدر,البريدي,القرمطي,منس,وفيها,القرامطه,مقله,الوزير,وقلد,409,362,55
34,الزناد,الاعرج,هريره,فضل,احدكم,جبار,باب,مالك,شهاب,التاذين,403,392,37
35,حماد,ابيه,حنيفه,انه,رضي,شريح,عن,ابراهيم,عنهما,الرجل,396,211,23
36,القاهري,ويعرف,وثمانماه,الماضي,الجمال,ونشا,الشهاب,الزين,ولد,وسبعماه,392,362,45
37,فاخرجه,متفق,القعنبي,ومسلم,واخرجه,والنساي,اخرجه,فوقع,البخاري,بدلا,373,294,90
38,النيل,الفيوم,مدينه,وبها,ميلا,قبر,مقياسا,اميال,قريه,طبريه,359,285,107
39,البيع,يجوز,وبه,بيع,بيعه,القبض,يبيع,يحجر,يصح,دليلنا,358,328,63
40,ويحيي,وعبد,وابراهيم,واحمد,وعمرو,والوليد,ويزيد,ووكيع,ومروان,وسعيد,358,347,37
41,وسمع,وحدث,ومات,الحجار,سمع,ولد,الحنبلي,وسبع,مه,واجاز,346,300,50
42,فتح,الوهاب,عيسي,ثنا,الحجاج,حدثناه,مسلم,احمد,نا,نامي,325,293,9
43,الفربري,حمويه,الداودي,مطر,السرخسي,الكشميهني,مكي,السجزي,البخاري,المظفر,312,187,138
44,كابي,بالكلام,مذهب,تزندق,رتبه,المريسي,السلف,والجماعه,النقل,الكلام,307,234,192
45,كلاهما,ثلاثتهم,اربعتهم,القعنبي,قتيبه,الكبري,البيوع,التفسير,حديث,المغازي,300,246,1
46,ثنا,خلف,محمش,همام,الرزاق,معمر,انا,الزيادي,هريره,قال,299,277,16
47,الوفاه,وعنه,وجماعه,سمع,وثقه,شاهين,القواس,حرف,توفي,الدارقطني,292,270,27
48,الرهن,المشتري,المبيع,الثمن,رهنا,العقد,مضمونا,الجوده,البيع,قيمته,273,264,21
49,منده,شجاع,الفتح,عبدالواحد,الواحد,عداده,صحبه,عبدالله,انا,يكني,272,268,5
50,مسعده,السمرقندي,نا,حمزه,عدي,انا,القاسم,العتيقي,الانماطي,العقيلي,266,261,6
51,يكبر,التكبير,كبر,الماموم,اكبر,القيام,تنعقد,الخطبه,صلاته,قاما,266,243,82
52,يروي,روي,عنه,مولي,عداده,كنيته,كوفي,البصره,سمع,بصري,260,240,26
53,رقم,صحيحه,طريق,السنن,كتاب,باب,ومسلم,الموطا,واخرجه,القعنبي,256,204,8
54,يرو,تفرد,يروه,لهيعه,الا,الحديث,نا,الاسناد,لم,بهذا,256,212,7
55,اكلوا,كسني,الدخان,دعا,مضر,اشدد,وطاتك,عليهم,اللهم,قريشا,247,238,134
56,رباح,البركات,تسميه,الدولابي,الانماطي,المهندس,تابعي,معين,معاويه,ومحدثيهم,245,245,3
57,سمعت,يقول,اخبرني,الوراق,ابا,حنبل,اخبرنا,حاشد,الاعين,الاصبهاني,243,225,56
58,القريه,واسال,المجاز,مجازا,اللفظ,مجاز,كقوله,كمثله,والنسيان,نحو,243,214,104
59,النحر,دم,احرامه,العمره,الميقات,المحصر,احرم,يحلق,الحج,الطواف,238,215,72
60,الزكاه,زكاه,العشر,اوسق,تجب,خمسه,الحبوب,الحول,يضم,النصاب,237,213,84
61,روي,سمعت,يقول,زرعه,عنه,سالت,سل,مجهول,الرحمن,ذلك,224,200,5
62,بسماعه,باجازته,وبسماع,اجازه,بسماع,ارويه,بسماعهما,كذلك,وارويه,وجزا,222,168,46
63,القراه,عرضا,مب,غا,مقر,قرا,الحروف,الداني,شنبوذ,الكساي,220,198,30
64,التهذيب,تهذيب,التقريب,الكمال,الجرح,والتعديل,انظر,والمثبت,الكاشف,صدوق,212,174,62
65,رحمهم,فثبت,النظر,اجمعين,ذكرنا,الاثار,الباب,وابي,وهذا,مرزوق,208,206,8
66,والبخاري,الموطا,ومسلم,والنساي,مسلمه,قتيبه,القعنبي,مالك,قرات,معن,208,103,3
67,المهدي,المنجم,اخبرني,حدثني,اوفدني,صحصح,الاهتم,فقدمت,افيح,وغاشيته,206,191,71
68,قديد,دثنا,ممد,حدثثي,الاصر,عبدالرحمن,القضا,حدثتي,لهيعه,لكندي,205,126,37
69,والصفحه,عبدالرحمن,الدين,ورقم,عبدالله,المجلد,الترجمه,شمس,جمال,الاسم,203,161,18
70,اخرون,المذكورين,ومحمدا,واراد,خالف,فانهم,وابا,ومالكا,بهم,القوم,196,196,12
71,سمعت,يقول,النون,ذا,ابا,الزهد,تمنت,الحواري,الدنيا,الجنيد,194,162,44
72,ويقال,وانشد,يقال,الاصمعي,الشعاع,والجمع,فلان,اي,وسمعت,الناقه,189,171,52
73,بيع,نخلا,نهي,ابرت,صلاحها,الثمار,نافع,يبدو,للباع,تلقوا,188,175,38
74,وعنه,وثقه,وثق,حبان,صدوق,وجماعه,بخ,معين,وماتين,ثقه,184,154,12
75,وحدثنا,غسان,العبدوي,حدثنا,البصري,مهدي,حدثني,نا,احمد,سمعت,183,160,104
76,اسباط,خبيق,الحواري,عبدالله,سمعت,الدنيا,يقول,علمك,ثنا,وتنهي,170,140,55
77,انشدني,شعره,لنفسه,وانشدني,الاديب,الدين,وستماه,الهوي,بابن,فاضلا,169,165,51
