Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount
78,حيويه,الفهم,الجوهري,معروف,البنا,طالب,قري,عمي,غالب,سعد,167,167,2
79,مستور,نيسابور,الاصم,واربع,والزيادي,الزيادي,بنيسابور,الشحامي,الاسفرايني,واربعماه,164,136,34
80,شجاع,منده,الفتح,عبدالواحد,الواحد,انا,خيثمه,نا,عبدالله,اخبرناه,163,161,3
81,قرات,وقرا,وقرات,شنبوذ,الذارع,طريق,قرا,واخبرني,العليمي,طريقي,163,114,24
82,افقه,اعف,جهم,اشتكت,سمعت,وسمعت,يقول,فشكوت,ليلي,لكتاب,159,149,74
83,الحلي,السيد,العلامه,المطهر,البحراني,العاملي,القسيني,المحقق,الشيخ,طاووس,157,67,71
84,نكاح,الفرقه,العده,نكاحها,حاملا,اللعان,تضع,طلاق,عده,تزوجهن,151,146,62
85,تستفتيان,السجن,خمرا,الطير,فتاكل,فيسقي,فيصلب,ناج,اراني,ظن,151,127,69
86,بيروت,تحقيق,دار,العلميه,مكتبه,الاسلامي,الطبعه,الكتب,تاريخ,لبنان,150,141,93
87,عقب,اعقب,الاخيضر,المعقبين,الجون,اعقاب,باليمامه,بينبع,اولاد,الامير,148,110,26
88,المستنجد,المقتفي,لدين,المستضي,العاضد,بالله,المستظهر,بويع,بامر,خلافته,145,137,58
89,البلنسي,الاشبيلي,الغرناطي,القرطبي,الانصاري,الداني,الملجوم,اللخمي,السرقسطي,الشاطبي,144,91,13
90,الدارقطني,سالت,حمزه,السهمي,وسالت,وسالته,نصر,سمعت,ثقه,الدينوري,143,134,24
91,تعدد,واخرجه,موضعه,اخرجه,المغازي,ايضا,وفي,غيره,وعن,البخاري,143,142,9
92,القلب,الروح,البشريه,اوصاف,النفس,انوار,مقام,بنور,صفات,فني,142,117,30
93,الكرجي,خراش,الغازي,طلحه,المقر,الطرسوسي,صدوق,داود,اخبرنا,كوفي,141,141,10
94,واله,حدثنا,عطيه,املا,رسول,انس,عصام,ارحموا,مازيار,صلي,139,134,71
95,الحيض,حيض,اقل,الطهر,يوما,حيضا,والكدره,الصفره,اقله,ايام,138,119,63
96,الحديد,جدي,انا,الرزاق,تبارك,معمر,الدنيا,عبدالرزاق,حماد,انبانا,137,134,5
97,القواس,شاهين,وابا,الثلاج,البرقاني,ويوسف,واحمد,الازهري,حدث,الوراق,135,131,23
98,التجاره,العبد,المكاتب,دين,المولي,الماذون,لعبده,المكاتبه,اذن,اقر,133,109,9
99,بسنده,حدث,الميانجي,مه,وثلاث,واربع,وحدث,بدمشق,دمشق,ومتين,132,128,16
100,حكومه,ارش,الكف,الديه,الاصابع,الساعد,عدل,قصاص,قطع,اليد,131,116,35
101,منكر,حديثه,متروك,ضعيف,يروي,عدي,بثقه,بالقوي,احاديث,النساي,129,122,34
102,تفرد,وتفرد,غريب,حديث,الحديث,وغريب,يروه,به,عنه,الشعبي,128,121,3
103,الفرقه,العده,طلاقا,الزوج,طلاق,بشهوه,الرده,النكاح,رجعه,فرقه,127,118,27
104,بسم,روايه,سماع,الرحيم,لصاحبه,العالم,الشيخ,نفعه,خليل,الجز,127,51,99
105,وجز,ثلاثيات,مسند,امالي,جز,انتقا,بسماعه,تخريج,وعلي,والمجلده,126,118,32
106,جش,جخ,كوفي,النجاشي,كش,بصير,الكشي,الرضا,ثقه,رجال,125,105,36
107,الحسكاني,الرقم,تاريخ,التنزيل,الورق,تفسير,شواهد,كفايه,ترجمه,رواه,125,120,24
108,مصيب,مجتهد,متعبدا,بالاجتهاد,الاجتهاد,والقاضي,المجتهد,سريج,لظن,اجتهاده,123,116,67
109,اللفتواني,الطبقه,منده,الدنيا,شجاع,سعد,انا,ويكني,عمرو,بكر,122,122,2
110,سيدي,الشيخ,لي,الدهماني,فلما,فاريته,وجعلك,ولدي,فقلت,الرشيد,122,113,70
111,زعيم,ولمن,بعير,حمل,الزعيم,الكفاله,غارم,الضمان,الكفيل,الجعل,122,119,62
112,امير,الممنين,حفصا,وبرق,يا,بالقيد,ودهن,الرشيد,وقضاياه,كحل,121,116,78
113,الوقف,وقف,موقوفه,الغله,ارضي,وقفا,الواقف,شرط,التمليك,التابيد,121,102,18
114,ارطال,الصاع,وثلث,رطل,ثمانيه,بالعراقي,صاع,خمسه,والصاع,والمد,121,105,80
115,الفروع,المذهب,وقدمه,ونقل,المستوعب,وجزم,الاصحاب,نص,السلب,الرعايه,119,116,22
116,كيدكن,قميصه,دبر,الباب,باهلك,سيدها,واستبقا,يسجن,وقدت,والفيا,119,97,67
117,وسلم,صلي,رسول,يبغضني,النبي,يحبني,يلعقها,استسقي,تشربوا,منافق,118,112,64
118,عفير,ومعن,بكير,الموطا,المصعب,مصعب,القعنبي,والقعنبي,وابن,حماس,117,105,40
119,العتيقي,العقيلي,البركات,الانماطي,مسعده,الشامي,السمرقندي,انا,عدي,حديثه,117,111,2
120,الخوف,فاقمت,فيهم,صلاه,مشروعه,العدو,والمزني,الطافه,كنت,الصف,117,112,98
121,قراه,اسمع,ريذه,الادمي,بقراتي,البزاز,الطبراني,رضه,حدثنا,رسول,117,108,57
122,نظيف,رشا,ورشا,خراش,عبدان,الكتاني,الاكفاني,انا,الربعي,الطرسوسي,116,116,2
123,الكذا,المجاهد,المسلمين,امير,مولانا,العالمين,معظم,عميم,وبركاته,سبيل,115,102,36
124,تكاري,اجر,ارايت,الاجاره,المنزل,المستاجر,الكرا,استاجر,الاجر,دابه,114,81,8
125,يحنث,حلف,الكوز,اليمين,فلان,حنث,الحالف,ويحنث,اليوم,شحم,114,103,25
126,القواس,شاهين,الدارقطني,الجراحي,ويوسف,حفص,شيوخه,ثقه,الوراق,الخلال,113,109,11
127,ين,عيد,عيدالرحمن,اين,عيدالرحيم,عيداللطيف,سس,ايراهيم,عيدالله,سه,113,98,23
128,كناه,وكناه,لنا,سمع,وابا,حدث,سكن,ونسبه,عمير,ابا,112,96,4
129,اليد,اسبق,يقضي,البينه,للخارج,للتاريخ,الخارج,بينه,عبره,تاريخا,111,91,18
130,يتوقت,بالزمان,الحلق,العمره,النحر,احرامه,دم,رفض,احرام,التحلل,111,99,18
131,طالق,طلقه,انت,يقع,واحده,الطلاق,ثلاثا,طلاقا,الثلاث,كظهر,110,103,37
132,الجوع,تلمني,وباعهم,السنون,برقابهم,حسنك,القحط,يبق,حولها,امراته,109,98,58
133,الكرخي,خلاد,عبيدالله,اسامه,بدر,الحارث,المحبر,واله,وبه,يتصل,108,89,10
134,البحار,الكتب,الصفحه,الانوار,عربي,بحار,الكافي,البرهان,الكريم,والبحار,107,101,56
135,البهلول,الواعظ,املا,الانباري,العلاف,جدي,حماد,خلاد,التنوخي,الازرق,106,103,17
136,روايته,سماعه,الاجازه,الروايه,سلامته,لعمل,الموجودين,العمل,خطه,فعن,104,87,64
137,تثريب,كريم,اخ,الراحمين,تظنون,يغفر,ارحم,تقولون,عليكم,اقول,104,96,92
138,طلحه,فالتمس,لطعام,انس,ارزقني,مالك,وحانت,ركابنا,خياطا,وصاعهم,104,103,25
139,وابا,وابو,الربعي,وابي,الزمزام,وبغيرها,الكلابي,واحمد,الميانجي,جوصا,103,102,14
140,حاض,الحاض,ارجل,عروه,قالت,غسل,عاشه,ترجيل,المعتكف,وترجيله,102,95,17
141,اسباط,وامشي,انوي,اقوم,بالترتيل,بالعظمه,بحاتم,تصلي,بالنيه,واكبر,101,95,58
142,الجزولي,الرساله,انتهي,زروق,ناجي,شرح,والشيخ,المدونه,المشهور,والجزولي,100,98,11
143,الثلث,اسهم,ولصاحب,يضرب,لصاحب,الورثه,سهما,بالثلث,الموصي,النصف,100,86,22
144,سهل,وكيع,باسا,مغيره,يسدل,يري,حدثنا,حميد,عطا,بكر,99,96,16
145,يقطع,الحرز,الكم,الداخل,قطع,القطع,الخارج,سرق,الاخراج,يده,99,87,18
146,واخرج,المنذر,جرير,حاتم,وابن,رضي,اخرج,الشيخ,عنهما,والحاكم,98,74,16
147,الاستراباذي,وثلاثماه,الجرجاني,بجرجان,روي,واقرانه,جرجان,الشاماتي,الابهري,بور,97,95,24
148,بلفظ,رقم,سننه,للطبراني,سنن,المعجم,ترجمه,حليه,الاوليا,ماجه,97,95,9
149,المرابطين,تاشفين,عام,مراكش,المريني,تموز,فاس,النصاري,بقياده,الموحدي,96,79,27
150,خزان,حفيظ,السلام,القلوب,البرهان,لنبيه,الجود,السجن,اجعلني,النفس,96,92,66
151,طهرا,دما,رات,حيضا,حيض,بالطهر,عادتها,ويوما,الحيض,يوما,96,73,16
152,وام,بنت,وامها,وامهم,تزوجها,كلثوم,امهم,ام,غرير,امهما,94,89,29
153,المنيعي,الزيادي,منبه,همام,محمش,حسان,القطان,السلمي,معمر,الرزاق,92,89,4
154,فتح,الوهاب,عيسي,حدثناه,حدثنا,مسلم,عبدالله,اخرجه,بالبيت,الهدي,92,76,2
155,حاتم,صدوق,الثقات,ويعقوب,ومتين,وذكره,ومحمد,الباغندي,حبان,وموسي,92,91,6
156,الاسرايلي,قينقاع,حليف,الحصين,سلام,حليفا,فسماه,الخزرج,اسمه,اسلم,91,88,73
157,منده,شجاع,الفتح,الواحد,عبدالواحد,نبانا,صحبه,بدرا,انا,وشهد,91,90,2
158,صحيحه,باب,والباب,واخرجه,الالتقا,الاستخراج,بنحوه,طريق,كتاب,والبخاري,90,52,7
159,النشوار,القصه,حاشيه,ترجمته,التنوخي,راجع,البهلول,الازدي,المقتدر,تجارب,90,82,1
160,تحفه,اتحاف,سفيان,الاوزاعي,النبيي,اتبيعنيه,الهجره,اعرابي,بعيرك,الحمو,89,85,16
161,خطبكن,راودتن,قلن,حاش,النسوه,حصحص,راودته,علمنا,شانكن,سو,88,72,64
162,الغنيمه,يسهم,اسهم,الاوزاعي,المصطلق,غنام,عنوه,بخيبر,قسم,قريظه,87,78,22
163,المدرسه,انشاها,مدرسه,تجاه,بجوار,الاستادار,القيساريه,صلاح,درب,حمام,87,83,34
164,شعب,مناف,الطوي,الخيزران,حفرها,البيضا,وحفر,الدار,المطلب,فجعلته,87,80,50
165,الصحيح,ورواه,رواه,البخاري,يحيي,لفظ,مسلم,مالك,واخبرنا,الفذ,86,84,10
166,مجهول,ضعفه,منكر,متروك,حديثه,حاتم,كذاب,مجاعه,ضعيف,الازدي,85,76,16
167,وببغداد,واقرانهما,وبالبصره,وبالري,وطبقتهم,وبالكوفه,وبالاهواز,وبواسط,وبنسا,واحمد,85,83,28
168,املا,الطالقانيون,حدثنا,مصرف,الجباخاني,النسفي,البلخي,بغنجار,الفارسي,الصهبا,85,80,41
169,وقف,الوقف,يصح,الواقف,والسلاح,والدور,وقفه,الموقوف,والغلمان,الحيوان,85,77,43
170,يحنث,حلف,حنث,ياكل,باكل,يصطبغ,فاكل,لحما,اللحم,شحم,85,79,32
171,لوطا,ليطمن,ارني,ياوي,ويرحم,الموتي,لبثت,لاجبت,تمن,تحيي,85,76,68
172,موسرا,معسرا,لشريكه,المعتق,استسعي,العبد,دبره,نصيبه,والولا,قيمته,85,79,34
173,وعنه,وخلق,وجماعه,زرعه,الوفاه,وثقه,صدوق,مولاهم,حاتم,وطبقتهم,85,85,16
174,شهيد,رسول,وسلم,صلي,ثنا,الاخنس,هريره,مغلاقا,صام,والمطعون,84,74,50
175,ظل,وقت,مثليه,الظهر,العصر,الظل,الشفق,الشمس,وقتها,الحمره,84,80,52
176,رشدا,ذكوان,اليزيدي,شيرك,الاعشي,باليا,بالتا,حمدون,عامر,كتابي,83,81,10
177,يكل,الصيد,اكل,اكله,صيد,الكلب,الجنين,ياكل,ميتا,التعليم,82,77,45
178,واحمد,والحسن,وجعفر,وعبد,وابراهيم,والحسين,ومحمد,وعبدان,وابو,ناجيه,81,81,15
179,وبنيامين,وشمعون,ولاوي,راحيل,ويهوذا,ليا,روبيل,ونفتالي,فولدت,وجاد,81,73,62
180,المساقاه,النخل,المزارعه,والكرم,الشجر,الثمره,تجوز,يجوزها,والمساقاه,منفرده,81,75,56
181,الولد,المكاتب,الاب,المغرور,نسب,مكاتبه,بالقيمه,الاستيلاد,الجاريه,الابن,80,76,16
182,نقفور,البوار,المصيبتان,ذاكا,الرشيد,بذاكا,العسوس,نواس,شملتنا,بشاعر,80,79,51
183,صحته,متفق,واخرجه,الشيرزي,كلاهما,اخرجه,انحلت,زاهر,مسلم,مالك,80,77,11
184,واحمد,وزينب,وعبد,الماكسيني,ومحمد,المقدسي,الدام,الشيرجي,بلبان,عوض,80,74,32
185,وعبد,ويحيي,عس,سي,وسهل,بخ,ومخلد,الجراح,وسفيان,ويزيد,80,78,3
186,ابويهما,الرضا,الاسترابادي,المفسر,سيار,الصادق,اليسع,زياد,ابيه,بزرج,79,71,27
187,بيض,الخبز,وزنا,بيع,اللحم,ينكبس,يجوز,السلم,كالزنبيل,تدخل,79,75,19
188,الحداد,السمرقندي,نعيم,حبيب,الطيالسي,انبانا,فورك,قالا,الزنجاني,فارس,79,78,4
189,مسعده,السمرقندي,عدي,حمزه,انا,القاسم,سمعت,الانماطي,القرني,نا,79,78,2
190,فليصل,حفصه,لاصيب,مقامك,بالناس,ففعلت,لانتن,انكن,صواحب,مروا,79,77,61
191,قم,مسسه,الحلي,طهران,المطهر,النجف,طبع,للعلامه,للشيخ,ايران,78,58,33
192,الكتاب,الشهود,الشهاده,وختمه,الخصم,يقبله,بحضرتهم,مختوم,والختم,القاضي,78,71,22
193,اخبار,كتاب,ومنهم,الفقه,مقتل,ومتين,اخذ,طبقه,الحريث,منحرفا,77,65,40
194,للبيهقي,السنن,الكبري,بلفظ,انبا,البيهقي,المقري,والحديث,كتاب,الزعفراني,77,75,11
195,برقم,صحيحه,انظر,ومواضع,كتاب,الموطا,باب,الصلاه,واخرجه,الليثي,76,47,5
196,بدرا,منجاب,الخزرج,شهد,بدري,تسميه,غنم,بني,حارثه,العجلان,76,71,17
197,جزاه,لنفسد,سارقين,جنا,كاذبين,علمتم,تفقدون,رحله,صواع,نفقد,76,62,50
198,سمع,قاله,اسمعيل,صوابه,روي,مولي,مرسل,قطبه,شبيل,الكوفيين,75,72,8
199,بسوره,الصبح,بالكهف,وقرا,وليله,الثانيه,الاحنف,سعله,يقرا,المثاني,74,68,55
200,العاشره,مقبول,التاسعه,صدوق,السادسه,السابعه,الحاديه,ثقه,الثامنه,تمييز,72,57,6
201,لاقل,سنتين,جات,اشهر,لاكثر,بانقضا,بولد,يثبت,النسب,تقر,72,65,23
202,ولادته,واربعمه,بنيسابور,وابا,وخمسمه,كتبت,ووفاته,المراغي,تراب,وكانت,71,70,7
203,تفقه,فقيها,الذكر,الفقيه,نفع,عجيل,ومنهم,ونفع,بالفقه,عصرنا,71,66,15
204,قبر,تربه,التربه,وبالتربه,الشيخ,وبالحومه,اولاد,وبالقرب,قبور,رباط,71,60,19
205,ويحيي,ويعقوب,حنبل,معين,الذهلي,ويوسف,ومحمد,السدوسي,الاثرم,عكبرا,70,70,5
206,المتيم,ابنا,البهلول,قراه,رزق,الواعظ,الربعي,التميمي,الحناي,املا,70,64,35
207,بصيرا,بقميصي,البشير,اذهبوا,القميص,فالقوه,يات,بالقميص,فارتد,يهوذا,69,64,49
208,النجاسه,نجس,الما,ازاله,نجاسه,جلد,الماعات,الخنزير,ينجس,يطهر,69,62,54
209,يحنث,حلف,حنث,ياكل,فاكل,الحالف,ثوبا,غزل,يلبس,غزلها,69,58,23
210,واخبرنا,انا,سماعا,الفخار,ساعد,اللطيف,قالوا,السباك,خليل,عزون,68,66,19
211,المسافر,صاما,نوي,الصوم,صوم,الزوال,التطوع,الادا,رمضان,الشروع,68,66,22
212,الرشيد,الفالوذج,عزلك,لقمه,فضحك,ليموتن,غانيه,الخصمان,الممنين,عزه,68,66,55
213,غسان,الرصافي,فابوها,الشامي,بصري,الفسوي,اينام,مدني,الغريف,العنبري,68,65,51
214,مكيه,ايات,الر,واحدي,بسم,تعملون,بغافل,المبين,تلك,عاملون,68,66,55
215,فشكر,فغفر,ابتلي,فصبر,اقتلك,ظلم,الغوال,قتلني,اعطي,سلطاني,67,65,60
216,سماني,افترقت,ومسح,فرقه,فواحده,راسي,واقعدني,حجره,اليهود,جذعه,67,61,46
217,الصامت,خويله,خوله,اوس,ثعلبه,حنظله,حدثتني,سلام,زوجي,بعرق,67,63,55
218,اسمع,قراه,بقراتي,وانا,الفاضليه,الحافظ,الثلاثا,الكراني,سماعا,هبه,67,58,45
219,واخرجه,اخبرت,طريق,قارظ,كلهم,وتابعه,الاعور,ورواه,فذكره,السبيعي,66,62,39
220,طريقين,واخرجه,اخره,شيخ,زريق,المصري,صحيحين,البخاري,النخعي,الكوفي,66,62,12
221,وصاحبته,الاخوه,الميد,خليل,الاوقي,اخبرنا,الحميه,عين,بالمسجد,الرحيم,66,61,32
222,هوان,اهانه,وقاص,كيسان,قريش,يرد,سعد,جاريه,العلا,شهاب,65,53,36
223,النحر,التشريق,المعلومات,عرفه,العصر,ايام,صلاه,يكبر,ويومان,يوم,65,59,53
224,موسرا,يعتق,معسرا,المعتق,عتق,شريكه,اعتق,نصيب,الاعتاق,جميعه,65,62,37
225,النمري,وحدثني,البر,عتاب,اصبغ,ملفه,اللخمي,قاسم,زرقون,الباجي,65,59,32
226,صفوان,الملطي,الجبار,اخبرنا,انبانا,الوهاب,القرشي,الخياط,ناصر,المبارك,65,63,15
227,الذب,فعلهم,يريدوا,ويذهب,بنيامين,ويحتمل,لسارقون,حسدهم,ياكله,قاطعا,64,60,35
228,فادركنا,نتوضا,فجعلنا,تخلف,ارجلنا,نمسح,سافرناها,ارهقنا,سفره,فنادي,63,59,39
229,العامر,الموات,الرطب,بالتمر,احيا,بيع,بالرطب,الرطبه,باليابسه,العمران,63,54,36
230,بالافراد,ولابي,ذر,الصنعاني,الفرا,اخبرهم,الصغير,المسندي,جريج,وبه,63,63,3
231,ادام,كسره,تمره,خبز,فوضع,شعير,فاكلها,الاعور,سلام,الاسلمي,63,63,61
232,ايديهن,عليهن,سكينا,وقطعن,اكبرنه,واتت,راينه,منهن,وقلن,حاش,63,61,54
233,انظر,المغني,والمحصول,المحتاج,لابن,المجموع,الحنفيه,ومختصر,مختصر,وانظر,63,63,29
234,النون,اسباط,الدنيا,ذا,اتخوف,اكره,فوددت,ذو,لينظر,القلق,62,61,30
235,واسد,الجهم,وايوب,والحسن,الفرات,هان,وسعيد,الزيات,والمقر,مسروق,62,55,4
236,عربي,الكريم,القران,سوره,البقره,النسا,الماده,الانعام,الاعراف,الانفال,62,59,25
237,جاكم,بالبينات,زلتم,هاد,يضلل,ولقد,قلتم,رسولا,مدبرين,يبعث,62,57,50
