Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount
-1,في,بن,تعالي,من,علي,وقوله,معناه,يوسف,محمد,الله,55,46,14
0,بن,قال,عن,الله,يوسف,من,في,يعني,ان,علي,233,139,30
1,من,ان,قالوا,الله,يوسف,قال,في,وقال,ما,فلما,40,24,4
2,راي,في,من,علي,او,تعالي,فانه,كان,فان,يوسف,39,37,2
3,كتاب,بن,اخبار,مخنف,قال,ابن,ابو,يزيد,مقتل,من,20,20,3
4,سوره,الايه,وسوره,اقف,لم,الكريم,عربي,القران,عليه,ثم,14,12,6
