Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
49,لعلي,بمنزله,مني,ترضي,بعدي,نبي,تكون,وقاص,عميس,انت,361,262,148,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
69,بمنزله,بعدي,مني,مولاه,لعلي,النبوه,نبي,منازل,انت,واله,251,209,149,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
99,ترضي,تبوك,والصبيان,اتخلفني,تخلفني,بمنزله,بعدي,تكون,غزوه,مني,163,146,105,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
182,بمنزله,ترضي,مني,لعلي,بعدي,واخبرناه,فاخبرناه,نبي,تكون,السمرقندي,99,59,9,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
314,اخرتك,ووارثي,والكرامه,ارث,فلك,العتبي,لنفسي,ورثت,وانت,بعثني,64,61,52,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
326,خليفتي,وسد,فبكي,بنبي,ترضي,تبوك,معك,بمنزله,بعدي,ينبغي,62,60,46,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
380,بمنزله,مولاه,مني,بعدي,واصحها,تبوك,ترضي,فعلي,انت,واله,57,51,47,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
404,مولاه,والاه,عاداه,فعلي,واخذل,بمنزله,مني,وانصر,بعدي,خذله,54,49,40,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
455,فتطاولنا,ويحبه,لاعطين,فبصق,مغازيه,ارمد,ورسوله,والصبيان,ادعوا,الرايه,50,48,46,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
596,غيري,فانشدكم,فيكم,افيكم,انشدكم,اللهم,بمنزله,طلعت,بعدي,هل,40,39,29,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
611,فاخلفني,خلفتك,خلفتني,واهلك,المنافقون,ترضي,وراي,كذبوا,فارجع,اهلي,39,37,36,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
613,اشافه,فاحببت,سعدا,فلقيته,سمعته,لعلي,اذنيه,اصبعيه,فذكرت,بمنزله,39,35,28,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
780,لحمي,ودمه,لحمه,وبابي,دمي,وعيبه,وسيد,علمي,واشهدي,واسمعي,32,30,23,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
1068,اسلاما,منكب,لقرابتك,ولحب,ايمانا,بمنزله,لخصلتين,لاحبك,احبهم,وانت,25,24,16,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
1323,لاعطين,الرايه,وسمعته,مولاه,ويحبه,ورسوله,يحب,بعدي,بمنزله,غدا,20,18,16,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
1432,وبمنزله,وخلافتك,وصيي,عداتي,سام,وصيتك,شمعون,وخليفتي,واوف,ذمامي,19,16,12,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
1659,لاعطين,الرايه,ورسوله,ويحبه,غزاها,خلفتني,فتطاول,ترضي,والصبيان,يحب,16,16,13,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
1726,فاستكتا,اصبعيه,فادخل,اذنيه,اسمعت,وقاص,والا,المنكدر,لعلي,سمعته,16,15,14,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
2023,وانك,وارثك,طهورك,ترثني,وتقاتل,بملا,الحوض,ذمتي,سنتي,يستشفون,14,14,14,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
2161,طهورك,يستشفون,وتقاتل,مقالا,بملا,وانت,سنتي,حسبك,ترثني,وارثك,13,13,12,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
2286,فجعلني,بيتي,نبتت,وبلاه,وفرقهم,فرقتين,وقرابته,مثلي,نخله,خيرها,12,12,10,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
2568,ووصيا,فايكم,ووزيرا,ووزيري,ووارثا,ووصيي,ليقومن,يبايعني,ووارثي,قامكم,10,10,9,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
2593,اصغر,بعشر,بمنزله,الصحاح,وقاص,لعلي,سنين,القبلتين,المشاهد,مني,10,10,10,Hadith - manzil of Ali to Muhammad like manzil of Harun to Musa
121,اوذي,فصبر,باكثر,لقسمه,قسمه,فاخبرته,فساررته,اريد,فاتيته,قسما,141,135,70,Hadith - Moses suffered more than that but he was patient
580,يعدل,كالصرف,فتغير,اوذي,فصبر,باكثر,لاخبرن,فاتيته,فاخبرته,يرحم,41,38,34,Hadith - Moses suffered more than that but he was patient
2156,دعنا,فاحمر,اوذي,اصحابي,يقولان,بفلان,فصبر,يبلغني,وفلانا,وشق,13,12,13,Hadith - Moses suffered more than that but he was patient
