,year,freq,uri,rate,exp_freq,poisson_prob
0,0,0,36,0.0,1.2291705325663387,0.7074648745660287
1,25,0,7,0.0,0.23900538133234364,0.2125893549570852
2,50,0,8,0.0,0.27314900723696417,0.23902061225551208
3,75,1,10,0.1,0.3414362590462052,0.04657582887560996
4,100,0,16,0.0,0.5462980144739283,0.42091037142802423
5,125,0,17,0.0,0.5804416403785488,0.4403488525661632
6,150,2,26,0.07692307692307693,0.8877342735201336,0.0608524391433376
7,175,0,51,0.0,1.7413249211356465,0.8247119960838712
8,200,6,95,0.06315789473684211,3.2436444609389494,0.047323010566782786
9,225,2,119,0.01680672268907563,4.063091482649842,0.7709961472768141
10,250,5,156,0.03205128205128205,5.326405641120801,0.4411164798350018
11,275,2,234,0.008547008547008548,7.989608461681202,0.9861340453641426
12,300,7,232,0.03017241379310345,7.9213212098719605,0.5360037625162993
13,325,1,173,0.005780346820809248,5.90684728149935,0.9812081873683915
14,350,7,204,0.03431372549019608,6.965299684542586,0.3961158696160467
15,375,3,261,0.011494252873563218,8.911486361105956,0.9774064417008088
16,400,3,217,0.013824884792626729,7.409166821302653,0.9372243932041219
17,425,8,211,0.037914691943127965,7.20430506587493,0.29790757866076234
18,450,9,252,0.03571428571428571,8.604193727964372,0.3605963446109738
19,475,2,106,0.018867924528301886,3.619224345889775,0.7006424420514417
20,500,7,142,0.04929577464788732,4.848394878456114,0.11802431628759014
21,525,5,116,0.04310344827586207,3.9606606049359803,0.20875175332553741
22,550,2,122,0.01639344262295082,4.1655223603637035,0.7851606449871807
23,575,10,215,0.046511627906976744,7.340879569493412,0.12447047126902444
24,600,4,156,0.02564102564102564,5.326405641120801,0.6148011005025258
25,625,6,166,0.03614457831325301,5.667841900167007,0.34051265155035226
26,650,8,162,0.04938271604938271,5.531267396548524,0.1083158620212551
27,675,8,150,0.05333333333333334,5.121543885693078,0.07631772877399856
28,700,3,104,0.028846153846153848,3.5509370940805343,0.4743177734169195
29,725,18,346,0.05202312138728324,11.8136945629987,0.032874634785354906
30,750,4,206,0.019417475728155338,7.033586936351828,0.8300504071477841
31,775,4,129,0.031007751937984496,4.4045277416960475,0.44968414344457697
32,800,10,136,0.07352941176470588,4.643533123028391,0.008301286369163607
33,825,5,141,0.03546099290780142,4.814251252551493,0.3514846573690318
34,850,7,142,0.04929577464788732,4.848394878456114,0.11802431628759014
35,875,5,76,0.06578947368421052,2.59491556875116,0.04866412341885218
36,900,10,247,0.04048582995951417,8.43347559844127,0.22933818662317695
37,925,5,60,0.08333333333333333,2.0486175542772314,0.01838284745681318
38,950,3,96,0.03125,3.27778808684357,0.41475008455895124
39,975,2,46,0.043478260869565216,1.570606791612544,0.20907419384426906
