,year,freq,uri,rate,exp_freq,poisson_prob
0,0,0,36,0.0,3.300055668955279,0.9631188857890066
1,25,0,7,0.0,0.6416774911857488,0.47359136287097037
2,50,0,8,0.0,0.7333457042122843,0.5197006406721876
3,75,1,10,0.1,0.9166821302653554,0.23362716369806757
4,100,0,16,0.0,1.4666914084245686,0.7693125254292927
5,125,1,17,0.058823529411764705,1.5583596214511042,0.46151376325260207
6,150,0,26,0.0,2.383373538689924,0.9077611193872785
7,175,0,51,0.0,4.6750788643533125,0.9906752102847812
8,200,6,95,0.06315789473684211,8.708480237520876,0.7653619460295638
9,225,12,119,0.10084033613445378,10.908517350157728,0.30133530749382065
10,250,9,156,0.057692307692307696,14.300241232139543,0.9040707661740437
11,275,17,234,0.07264957264957266,21.450361848209315,0.8006426165726794
12,300,23,232,0.09913793103448276,21.267025422156244,0.3043971089642251
13,325,19,173,0.10982658959537572,15.858600853590648,0.17800003500228911
14,350,22,204,0.10784313725490197,18.70031545741325,0.1870797655795715
15,375,23,261,0.08812260536398467,23.925403599925776,0.5210874769331071
16,400,27,217,0.12442396313364056,19.892002226758212,0.04978847482296944
17,425,19,211,0.09004739336492891,19.341992948599,0.470524420561783
18,450,26,252,0.10317460317460317,23.100389682686956,0.23423006681139302
19,475,12,106,0.11320754716981132,9.716830580812767,0.18239226704383382
20,500,14,142,0.09859154929577464,13.016886249768046,0.32659344765547005
21,525,13,116,0.11206896551724138,10.633512711078122,0.1859588017759798
22,550,10,122,0.08196721311475409,11.183521989237335,0.5618280994032165
23,575,16,215,0.07441860465116279,19.70866580070514,0.7595693810875164
24,600,7,156,0.04487179487179487,14.300241232139543,0.9732265386773927
25,625,11,166,0.06626506024096386,15.216923362404899,0.8292142549538931
26,650,29,162,0.17901234567901234,14.850250510298757,0.00035666844501702766
27,675,15,150,0.1,13.75023195398033,0.3061708830284535
28,700,10,104,0.09615384615384616,9.533494154759696,0.35881173657260446
29,725,40,346,0.11560693641618497,31.717201707181296,0.06385437272358785
30,750,13,206,0.06310679611650485,18.88365188346632,0.8971174089213706
31,775,10,129,0.07751937984496124,11.825199480423084,0.6341820912136296
32,800,18,136,0.1323529411764706,12.466876971608833,0.05078927335101191
33,825,7,141,0.04964539007092199,12.92521803674151,0.9438306321058778
34,850,15,142,0.1056338028169014,13.016886249768046,0.23788904723751547
35,875,9,76,0.11842105263157894,6.966784190016701,0.16615186998592857
36,900,17,247,0.06882591093117409,22.642048617554277,0.861971830170414
37,925,10,60,0.16666666666666666,5.500092781592132,0.025253897353013643
38,950,8,96,0.08333333333333333,8.800148450547411,0.5177390854292457
39,975,5,46,0.10869565217391304,4.216737799220635,0.2495949853795404
