,year,freq,uri,rate,exp_freq,poisson_prob
0,0,0,35,0.0,1.9556451612903225,0.8585268257707388
1,25,0,7,0.0,0.3911290322580645,0.3237071131891607
2,50,0,8,0.0,0.4470046082949309,0.360459038925359
3,75,0,10,0.0,0.5587557603686636,0.4280797728591377
4,100,0,15,0.0,0.8381336405529954,0.5674829972010524
5,125,0,17,0.0,0.9498847926267281,0.6132144185613952
6,150,1,26,0.038461538461538464,1.4527649769585254,0.4262428333117013
7,175,2,50,0.04,2.793778801843318,0.529062019327995
8,200,10,83,0.12048192771084337,4.6376728110599075,0.008229090206341105
9,225,6,114,0.05263157894736842,6.369815668202765,0.45287993535206184
10,250,8,154,0.05194805194805195,8.60483870967742,0.4912638571669675
11,275,8,233,0.034334763948497854,13.019009216589861,0.9011081981364333
12,300,19,224,0.08482142857142858,12.516129032258064,0.030938433766741102
13,325,6,172,0.03488372093023256,9.610599078341014,0.843331837594919
14,350,10,197,0.050761421319796954,11.007488479262673,0.5410049525228734
15,375,9,255,0.03529411764705882,14.248271889400922,0.9018436681499344
16,400,13,213,0.06103286384976526,11.901497695852536,0.3081095200759294
17,425,11,195,0.05641025641025641,10.89573732718894,0.40828862097081675
18,450,19,246,0.07723577235772358,13.745391705069125,0.06657278463743355
19,475,4,102,0.0392156862745098,5.699308755760368,0.6726834591325703
20,500,9,140,0.06428571428571428,7.82258064516129,0.2616205444620785
21,525,11,115,0.09565217391304348,6.425691244239632,0.03149289874079897
22,550,9,121,0.0743801652892562,6.760944700460829,0.14611299658235466
23,575,7,210,0.03333333333333333,11.733870967741936,0.8982086973501726
24,600,8,153,0.05228758169934641,8.548963133640553,0.48361779181878606
25,625,2,162,0.012345679012345678,9.05184331797235,0.994021765419335
26,650,10,161,0.062111801242236024,8.995967741935484,0.2935336414471019
27,675,8,140,0.05714285714285714,7.82258064516129,0.3827037195382206
28,700,3,98,0.030612244897959183,5.475806451612903,0.7955440176380154
29,725,22,328,0.06707317073170732,18.327188940092167,0.16388048229751095
30,750,8,185,0.043243243243243246,10.336981566820276,0.7038200783038674
31,775,8,124,0.06451612903225806,6.928571428571429,0.2616447004291538
32,800,11,136,0.08088235294117647,7.599078341013825,0.08517366948040239
33,825,8,141,0.05673758865248227,7.878456221198157,0.39049204412186433
34,850,12,136,0.08823529411764706,7.599078341013825,0.046398267712186025
35,875,4,69,0.057971014492753624,3.855414746543779,0.34294094319783675
36,900,17,247,0.06882591093117409,13.801267281105991,0.15893842478489106
37,925,3,60,0.05,3.3525345622119818,0.43123818086282617
38,950,0,80,0.0,4.470046082949309,0.9885532116634156
39,975,5,46,0.10869565217391304,2.5702764976958528,0.04688125346615757
