,year,freq,uri,rate,exp_freq,poisson_prob
0,0,0,36,0.0,1.1690480608647245,0.6893374676267786
1,25,0,7,0.0,0.22731490072369642,0.2033301291327645
2,50,0,8,0.0,0.25978845796993877,0.2287852871251832
3,75,0,10,0.0,0.32473557246242346,0.27728156496649503
4,100,0,16,0.0,0.5195769159398775,0.405227866645414
5,125,0,17,0.0,0.5520504731861199,0.4242319976884872
6,150,0,26,0.0,0.844312488402301,0.5701472145804345
7,175,0,51,0.0,1.6561514195583595,0.8091278448017546
8,200,3,95,0.031578947368421054,3.0849879383930228,0.3718014310421569
9,225,3,119,0.025210084033613446,3.864353312302839,0.5395904448402732
10,250,4,156,0.02564102564102564,5.0658749304138055,0.570988489166975
11,275,3,234,0.01282051282051282,7.598812395620709,0.9445852198595964
12,300,12,232,0.05172413793103448,7.533865281128224,0.043917123706724404
13,325,2,173,0.011560693641618497,5.6179254035999255,0.9186449870716706
14,350,7,204,0.03431372549019608,6.624605678233438,0.3455436423016356
15,375,4,261,0.01532567049808429,8.475598441269252,0.9245491322514932
16,400,5,217,0.02304147465437788,7.046761922434589,0.705224062252044
17,425,2,211,0.009478672985781991,6.851920578957135,0.9668748236990855
18,450,15,252,0.05952380952380952,8.18333642605307,0.010023502701475784
19,475,3,106,0.02830188679245283,3.442197068101689,0.45084438450715036
20,500,6,142,0.04225352112676056,4.611245128966413,0.18346087597980576
21,525,10,116,0.08620689655172414,3.766932640564112,0.0018043176331997701
22,550,5,122,0.040983606557377046,3.9617739840415664,0.20892404739743164
23,575,9,215,0.04186046511627907,6.981814807942104,0.1676648003682495
24,600,3,156,0.019230769230769232,5.0658749304138055,0.7440996560344364
25,625,1,166,0.006024096385542169,5.390610502876229,0.9708639983304306
26,650,8,162,0.04938271604938271,5.26071627389126,0.08644861102325707
27,675,3,150,0.02,4.871033586936352,0.7164018238814982
28,700,2,104,0.019230769230769232,3.377249953609204,0.6558511319037297
29,725,12,346,0.03468208092485549,11.235850807199851,0.33736731114363483
30,750,7,206,0.03398058252427184,6.689552792725923,0.35513700304699714
31,775,4,129,0.031007751937984496,4.189088884765263,0.40805105817697107
32,800,6,136,0.04411764705882353,4.416403785488959,0.158390562616875
33,825,7,141,0.04964539007092199,4.5787715717201705,0.09321600988003609
34,850,8,142,0.056338028169014086,4.611245128966413,0.04563632192166478
35,875,2,76,0.02631578947368421,2.4679903507144183,0.4479500235876326
36,900,10,247,0.04048582995951417,8.02096863982186,0.18620102790524584
37,925,2,60,0.03333333333333333,1.9484134347745408,0.3093637554016313
38,950,4,96,0.041666666666666664,3.1174614956392652,0.2048450993312294
39,975,3,46,0.06521739130434782,1.493783633327148,0.06486466048631856
