Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
462,12,اعنز,وتروح,مناءح,وجيهة,1,4,,4.0,,,,
492,11,اغمار,وحواصل,ادبار,جهال,2,11,2.0,,,,9.0,
380,16,افضل,الحرام,تفضيل,الصلاة,1,9,,9.0,,,,
482,12,افطن,الجلساء,السماط,المخضوبة,3,6,1.0,,1.0,4.0,,
444,13,اقبية,حاجب,واستقر,عشره,1,12,,,,,12.0,
170,40,اقرا,زملوني,المدثر,بحراء,1,14,,14.0,,,,
301,21,اقطاعه,الخروجات,الاف,الخرج,4,18,4.0,,2.0,4.0,8.0,
95,75,ال,رقم,اب,ارقام,1,17,17.0,,,,,
459,12,الابن,المسيح,الاب,مريم,1,6,,,,6.0,,
437,13,الاثنين,لاثنتي,الاول,ربيع,1,10,,10.0,,,,
519,10,الاحباس,للاحباس,بالشراءط,تحبيس,3,8,,,1.0,4.0,3.0,
533,10,الاحساء,والحصي,العين,والتراب,3,6,1.0,,3.0,,2.0,
209,30,الاخيار,فج,التعليم,بلادهم,3,9,2.0,,2.0,5.0,,
54,114,الاذان,الجامع,المسجد,المصحف,6,50,1.0,1.0,1.0,43.0,2.0,2.0
253,25,الاردب,القمح,وجود,الالبان,4,16,,,1.0,1.0,12.0,2.0
241,27,الارمن,وابوان,واقلوسنا,الخبر,3,20,2.0,,3.0,,15.0,
306,21,الاسكندر,المنارة,البحر,مراة,1,13,,,,13.0,,
199,33,الاسكندر,شهربراز,الفرس,كسري,3,14,,2.0,1.0,11.0,,
313,21,الاعظم,ينتهي,خليج,الخليج,1,5,,,,5.0,,
154,44,الافضل,العادل,العزيز,اخيه,3,19,1.0,,,3.0,15.0,
52,118,الاموات,الوباء,يموت,انسان,4,52,,,1.0,2.0,48.0,1.0
318,20,الامومة,امهات,امهاتهم,نكاحهن,1,7,,7.0,,,,
284,23,الانف,اي,اشم,والمرفقين,2,8,2.0,6.0,,,,
401,15,الانماط,ستكون,انماط,بقولكم,1,13,,13.0,,,,
263,24,الاوس,والخزرج,ثعلبة,يثرب,3,10,1.0,8.0,1.0,,,
115,63,البحر,المحيط,بحر,بلاد,1,21,,,,21.0,,
438,13,البخاري,وذكره,حازم,جملك,1,12,,12.0,,,,
405,14,البراء,بشر,وانتهش,ازدرد,2,12,,11.0,,1.0,,
230,28,البشرية,بالفعل,الملاءكية,الانسلاخ,1,5,,5.0,,,,
107,66,التركية,رتبة,متوليها,الانشاء,3,21,1.0,,,19.0,1.0,
141,51,التمساح,السقنقور,القنب,الشهدانج,2,12,,1.0,,11.0,,
116,62,التوراة,اسراءيل,المشنا,اليهود,2,15,,5.0,,10.0,,
364,17,التوراة,بشرع,الطهارة,اباحة,1,7,,7.0,,,,
341,18,الجار,الاثنين,طينال,ابطال,3,17,1.0,,,1.0,15.0,
0,3591,الجامع,الان,باب,الخليج,5,890,36.0,,16.0,770.0,117.0,2.0
314,21,الجامع,المواسم,وترويح,بمبيته,4,9,2.0,,1.0,4.0,2.0,
461,12,الجدار,ذراع,ذراعا,المنخفض,1,4,,,,4.0,,
235,27,الجصاص,القرقوبي,القاضي,بدده,2,27,26.0,,,1.0,,
484,12,الجن,غشيها,الكلمة,فتسمعه,2,7,1.0,6.0,,,,
63,100,الحجاج,والله,فقال,بلي,4,58,52.0,4.0,1.0,1.0,,
215,29,الحديث,الوهم,طريق,شريك,1,21,,21.0,,,,
155,44,الحسين,الحسن,حسين,الحمداني,1,12,12.0,,,,,
247,26,الحسين,الزبير,الحر,زياد,3,19,15.0,3.0,,1.0,,
257,25,الحسين,محمد,بن,الحسن,1,7,7.0,,,,,
98,73,الحسيني,الحسين,جعفر,طالب,4,50,45.0,,1.0,2.0,2.0,
447,13,الحلواني,حوشب,كتامة,ممهدة,3,8,4.0,,2.0,2.0,,
84,81,الحوف,الجروي,الافشين,الفسطاط,3,38,20.0,,1.0,18.0,,
399,15,الحوف,والخراج,الخراج,الرشيد,2,11,2.0,,,9.0,,
398,15,الخشبة,جذع,المنبر,فاحتضنها,1,7,,7.0,,,,
