Topic,uri,ms
429,0975MuttaqiHindi.KanzCummal.Shia002265Vols-ara1,2481
55,0977KhatibShirbini.SirajMunir.ShamAY0034068-ara2,2084
55,0977KhatibShirbini.SirajMunir.ShamAY0034068-ara2,2088
55,0977KhatibShirbini.SirajMunir.ShamAY0034068-ara2,4231
424,0977KhatibShirbini.SirajMunir.ShamAY0034068-ara2,543
848,0977KhatibShirbini.SirajMunir.ShamAY0034068-ara2,3209
1334,0977KhatibShirbini.SirajMunir.ShamAY0034068-ara2,4163
1412,0977KhatibShirbini.SirajMunir.ShamAY0034068-ara2,843
55,0982IbnMuhammadAbuSucud.IrshadCaqlSalim.JK000458-ara1,1956
55,0982IbnMuhammadAbuSucud.IrshadCaqlSalim.JK000458-ara1,2359
55,0982IbnMuhammadAbuSucud.IrshadCaqlSalim.JK000458-ara1,3038
1412,0986IbnCaliFattani.MajmacBihar.Sham19Y0013631-ara1,1006
55,0988FathAllahKashani.ZubdatTafasir.Rafed0001713Vols-ara1,1367
55,0988FathAllahKashani.ZubdatTafasir.Rafed0001713Vols-ara1,1637
55,0988FathAllahKashani.ZubdatTafasir.Rafed0001713Vols-ara1,1701
55,0988FathAllahKashani.ZubdatTafasir.Rafed0001713Vols-ara1,2402
