Topic,uri,ms
1304,0283AbuIshaqThaqafi.Gharat.Masaha004561Vols-ara1,697
540,0292AbuBakrBazzar.BahrZakhkhar.Shamela0012981-ara1,1082
1412,0276IbnQutaybaDinawari.Macarif.Shamela0012129-ara1,104
1412,0279Baladhuri.AnsabAshraf.Shamela0009773-ara1,819
938,0276IbnQutaybaDinawari.ImamaWaSiyasa.JK001030-ara1,269
938,0276IbnQutaybaDinawari.ImamaWaSiyasa.JK001030-ara1,276
938,0276IbnQutaybaDinawari.ImamaWaSiyasa.JK001030-ara1,277
938,0279Baladhuri.FutuhBuldan.Shamela0012221-ara1,154
938,0279Baladhuri.FutuhBuldan.Shamela0012221-ara1,190
848,0276IbnQutaybaDinawari.Macarif.Shamela0012129-ara1,118
848,0279Baladhuri.AnsabAshraf.Shamela0009773-ara1,533
848,0279Baladhuri.AnsabAshraf.Shamela0009773-ara1,2594
306,0283AbuIshaqThaqafi.Gharat.Masaha004561Vols-ara1,552
306,0283AbuIshaqThaqafi.Gharat.Masaha004561Vols-ara1,552
424,0292AbuBakrBazzar.BahrZakhkhar.Shamela0012981-ara1,877
1334,0279Baladhuri.AnsabAshraf.Shamela0009773-ara1,214
