Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
126,46,السلطان,غرلو,غزة,الوثوب,4,46,,9.0,1.0,4.0,32.0,
201,29,السلف,دنانير,دينارا,قصبة,1,5,,,,29.0,,
312,19,السورة,ضعوا,اريناك,القران,1,11,19.0,,,,,
52,139,السيفي,واقبغا,وارغون,المحمدي,3,41,,,1.0,3.0,135.0,
15,500,الشافعي,حنبل,وعن,سمعت,3,147,5.0,493.0,,2.0,,
322,19,الشافعي,قولي,الماءة,الكرابيسي,2,9,3.0,16.0,,,,
367,17,الشفاعة,شفاعات,النار,شفاعة,1,4,17.0,,,,,
456,14,الشكران,جفن,الردي,بقصيدة,3,14,,12.0,1.0,,1.0,
497,13,الشمس,الشعاع,الهواء,يناله,3,4,3.0,6.0,,4.0,,
520,12,الصاحبية,ترجل,مسارج,ذواءب,2,12,,,,1.0,11.0,
326,19,الصالح,للصالح,حمص,صاحب,4,16,,1.0,1.0,1.0,16.0,
449,14,الصف,سجد,السجدتين,وسجد,1,6,14.0,,,,,
320,19,الصفحة,كداء,كربلاء,قاشان,1,1,19.0,,,,,
69,101,الصلاة,التشهد,وجوب,المسء,2,39,100.0,,,1.0,,
104,60,الصلاة,اله,التشبيه,صل,1,34,60.0,,,,,
272,22,الصليحي,المكرم,نجاح,جياش,1,6,,,,22.0,,
481,13,الضرب,مقررة,والقاهرة,موازينهم,2,10,,2.0,,11.0,,
455,14,الطوق,خلعهم,المحلاة,والاسورة,3,7,,,2.0,11.0,1.0,
7,1222,الطويل,الهوي,الكامل,قلبي,5,477,51.0,964.0,21.0,149.0,37.0,
63,110,العبد,المريد,الاسباب,علامة,5,40,6.0,92.0,,7.0,4.0,1.0
551,12,العجول,عباءته,عشره,بيدرا,3,10,,3.0,,1.0,8.0,
153,39,العماءم,النصاري,الزرق,يركبوا,4,18,,9.0,4.0,11.0,15.0,
385,16,الغلة,للديوان,روزنامج,روزنامجات,4,6,,5.0,5.0,,1.0,5.0
549,12,الغوري,اعاده,فمجته,فلزما,3,12,,2.0,,1.0,9.0,
84,79,الف,درهم,مبلغ,المرتبات,5,63,,11.0,5.0,14.0,47.0,2.0
13,600,الف,دينار,ووجد,ذهب,5,229,1.0,88.0,158.0,203.0,150.0,
336,18,الفء,الغنيمة,اخماس,الغانمين,1,7,18.0,,,,,
538,12,الفا,بيحيي,ابنتك,سبعين,2,6,8.0,4.0,,,,
140,43,الفا,دينارا,بابة,وثلاثون,4,9,,3.0,2.0,36.0,2.0,
498,13,الفال,طيرة,عدوي,واحب,1,4,13.0,,,,,
167,36,الفداء,فودي,باللامش,وانثي,2,7,,3.0,,33.0,,
24,296,الفرنج,المسلمين,المسلمون,منهم,4,156,,47.0,28.0,26.0,195.0,
572,11,الفرنج,دمياط,مراكبهم,فارسكور,3,11,,,1.0,5.0,5.0,
376,16,الفرنج,عكا,ووالت,صيدا,3,15,,,2.0,4.0,10.0,
393,16,الفريابي,يمان,معين,ثقة,2,12,7.0,9.0,,,,
527,12,الفستق,الملبس,بالسكر,لب,4,6,,1.0,3.0,7.0,1.0,
297,20,الفضل,مقاتل,الركين,فضالة,1,4,20.0,,,,,
79,83,الفعل,الوجوب,القول,واجبا,1,23,83.0,,,,,
610,10,القافية,الابيات,عدد,الموضع,1,1,10.0,,,,,
178,34,القرمطي,الرملة,القرامطة,بجكم,4,31,,15.0,10.0,8.0,1.0,
533,12,القسم,والقسم,المهن,والاجراء,2,4,1.0,,,,,11.0
266,22,القليل,المشاهدة,اشق,الكثير,3,12,2.0,3.0,,,,17.0
166,36,القنب,الشهدانج,يروق,الدرجة,1,9,,,,36.0,,
154,39,القوة,الحس,الملاءكية,الادراك,1,5,39.0,,,,,
493,13,القيروان,وخافته,زناتة,بابك,3,10,,7.0,3.0,3.0,,
192,31,الكافة,النظر,ورعاية,مصالح,4,15,,3.0,9.0,17.0,2.0,
623,10,الكتب,خزاءن,مفصلة,جملا,3,6,,6.0,,1.0,3.0,
136,44,الكعبة,اوسط,سمت,الجنوب,1,9,,,,44.0,,
229,26,الكعبة,مقابلة,الجهة,استقباله,1,6,,,,26.0,,
581,11,الكناءس,كناءس,الجمعة,كنيستين,2,3,,,,7.0,4.0,
68,103,الكواكب,زحل,برج,الفلك,2,23,,,,101.0,2.0,
555,11,اللبنة,لبنة,كمثل,واكملها,1,2,11.0,,,,,
91,70,اللهم,بارك,اغفر,اهد,1,10,70.0,,,,,
381,16,المءمنين,الامام,بالله,بامر,2,9,,14.0,,,2.0,
303,20,المال,يتيا,فيمدون,ويشرءبون,4,13,,4.0,,5.0,7.0,4.0
459,14,المامون,ارسانها,نخيلة,المءمنين,1,14,,14.0,,,,
453,14,المجاهدة,وقبره,بزيارته,هيءته,2,13,,11.0,,,3.0,
203,29,المخازن,وتتلف,مشتراها,ويفيد,5,19,,2.0,3.0,7.0,5.0,12.0
485,13,المخطرطة,وبزر,الاراضي,اسياب,3,10,,,,1.0,5.0,7.0
395,16,المدارج,لمتولي,والضيوف,والرواض,1,10,,,,16.0,,
74,94,المدعو,المعجزة,التحدي,الداعي,3,35,48.0,1.0,,45.0,,
408,15,المربا,الشاشات,دكانا,لبيع,3,15,,,1.0,2.0,12.0,
365,17,المرتجز,افراس,السكب,محجلا,2,9,16.0,,,1.0,,
78,84,المروة,راحلته,عرفة,التروية,3,26,73.0,9.0,,2.0,,
412,15,المزي,المقصودون,الزكي,القضاة,3,13,,8.0,,1.0,6.0,
554,11,المستعصمية,ملكة,الملك,البرواناه,3,10,,1.0,,3.0,7.0,
571,11,المستعين,بالمعتز,واسط,طولون,4,9,,6.0,1.0,3.0,1.0,
384,16,المستنصر,العلاجي,الفلاحي,افضت,2,10,,,8.0,8.0,,
183,32,المسيح,عيد,وعيد,ويزعمون,1,10,,,,32.0,,
190,31,المعتزلة,مذهب,الالحاد,وذموا,4,20,,9.0,7.0,14.0,1.0,
141,43,المغرم,فذكرا,لكلامهما,لاخبرت,4,36,,20.0,4.0,5.0,14.0,
214,28,المقدس,اسري,الاسراء,عرج,1,13,28.0,,,,,
156,39,المقدس,بسنة,مبعثه,بمكة,2,16,38.0,1.0,,,,
390,16,المنبر,الجذع,فصنع,يراك,1,7,16.0,,,,,
354,17,المنبر,الخطبتين,فخطب,وشفيع,3,9,,,5.0,4.0,8.0,
122,48,المنكبين,بالطويل,بالقصير,ضخم,1,19,48.0,,,,,
127,46,المهدي,اليسع,سجلماسة,بسلمية,3,23,,28.0,12.0,6.0,,
400,15,المهدي,نعتقد,بالايات,شككنا,3,7,,10.0,3.0,2.0,,
242,25,المهدي,ويملك,واطاعني,طوبي,3,16,,14.0,6.0,5.0,,
287,21,المهديين,الطيبين,الاكرمين,لقدرتك,3,13,,16.0,4.0,,1.0,
57,126,الموطن,مواطن,الصلاة,النبي,1,53,126.0,,,,,
121,48,النحر,عيد,وخطب,قافلة,3,28,,,39.0,5.0,4.0,
503,13,النساء,اكمام,وقطعها,القمصان,2,4,,,,1.0,12.0,
150,40,النصاري,وسم,وتاريخه,الاعمال,4,26,,5.0,3.0,13.0,19.0,
132,45,النوبة,اسوان,الجنادل,بلد,2,26,,1.0,,44.0,,
617,10,الهدي,فنحر,بدنة,البدنة,2,6,8.0,2.0,,,,
346,18,الهلالية,ادوار,بالعشري,المداخلة,2,12,,,,16.0,2.0,
19,350,الهواء,النيل,الصيف,الماء,4,73,5.0,4.0,,338.0,,3.0
1,7055,الوافي,ترجمة,الدرر,المخطوط,6,570,254.0,5607.0,9.0,24.0,2.0,1159.0
333,18,الوز,رقم,وز,ال,1,2,,18.0,,,,
469,14,الوزراء,الاجل,النابلسي,الاءمة,3,13,,6.0,7.0,1.0,,
147,41,الوهم,الحديث,ضعفه,الحديثين,2,29,40.0,1.0,,,,
609,10,الويتنا,وتضلل,عقدنا,تشتم,1,9,10.0,,,,,
23,297,اليعاقبة,بطرك,فاقام,بطركا,5,55,5.0,3.0,,278.0,10.0,1.0
514,12,اليقين,حصل,واثبات,ومجانبة,3,9,10.0,,1.0,1.0,,
81,80,اليهودي,بشعرها,فحاول,وبالمسلمين,4,54,,31.0,2.0,26.0,21.0,
396,16,امنوا,وكيع,للذين,ايها,1,6,16.0,,,,,
307,20,انج,اللهم,نج,وطاتك,1,7,20.0,,,,,
236,26,انجيل,المسيح,الاناجيل,النصاري,3,9,17.0,,,8.0,1.0,
332,19,انديتهم,حدثني,نراهم,هءلاء,1,16,19.0,,,,,
356,17,انيس,فزت,وحدثني,اوزاع,1,15,17.0,,,,,
215,28,انيس,مالكه,صبوت,نعم,2,26,22.0,6.0,,,,
460,14,اهتزازا,بريح,الارض,واهتز,4,9,5.0,,2.0,1.0,6.0,
588,11,اهتم,اهتماما,مءتمن,ساقية,2,7,,,1.0,10.0,,
504,13,اهلت,فارغه,وسبعماءة,وتنتك,3,13,,2.0,,1.0,10.0,
593,11,اهلهم,حناطة,قريشا,اذل,1,11,11.0,,,,,
41,198,او,يستتاب,سبه,حكم,4,53,174.0,3.0,,20.0,,1.0
199,30,اوله,الشهر,شهر,الاربعاء,3,30,,,2.0,1.0,27.0,
120,49,اي,اشم,المنحدر,الانف,2,11,48.0,,,1.0,,
114,53,ايدمر,اقوش,ايبك,دغدي,2,12,,52.0,,,,1.0
86,78,بادشاه,ليحضر,بيبرس,السلطان,4,64,,14.0,1.0,4.0,59.0,
209,28,بالاحواش,وحملها,ضرره,الحمالين,5,24,,3.0,1.0,10.0,12.0,2.0
364,17,بالبكا,الكهيف,حاجر,حامد,2,17,,15.0,,,2.0,
583,11,بالتصاوير,العجيبة,الملون,والنقوش,1,9,,,,11.0,,
562,11,بالخجل,ومصابيح,واخرة,وحبهم,5,9,1.0,4.0,1.0,3.0,2.0,
285,21,بالسواد,بالطف,وقيل,صابغ,3,18,2.0,13.0,,6.0,,
138,43,بالضرورة,الصديق,كفر,كافر,1,17,43.0,,,,,
330,19,بالله,المستمسك,بقصور,جلس,2,16,,14.0,,5.0,,
213,28,باي,وسودن,واينال,ويلبغا,2,23,,3.0,,,25.0,
587,11,بجبنة,زمزم,يضربونها,سقيت,1,9,11.0,,,,,
241,25,بدلة,حريري,مذهبة,وبرسم,1,7,,,,25.0,,
389,16,برج,شمسية,الف,الكون,2,10,,2.0,,14.0,,
67,104,برسم,والمطلق,والاستاذين,الخاص,5,53,1.0,17.0,2.0,81.0,3.0,
280,21,بصير,رمحه,تءذونه,وتهجونه,2,19,20.0,,,1.0,,
618,10,بطا,فبش,والبغلة,ووصاه,4,10,,2.0,2.0,1.0,5.0,
262,23,بعدها,مفتوحة,ساكنة,المهملة,3,7,2.0,20.0,,1.0,,
606,10,بعلبك,للمصريين,والرحبة,بهدايا,2,10,,,2.0,,8.0,
442,14,بفرثها,البرير,رواحة,اصابته,1,14,14.0,,,,,
457,14,بقيتا,اوراس,الفسطاط,فقتلا,3,13,,9.0,,4.0,1.0,
528,12,بقيودهم,فاطلقوا,يال,ليسيروا,2,11,,,,1.0,11.0,
135,44,بكتمر,لبكتمر,السلطان,يكره,5,34,,22.0,1.0,11.0,9.0,1.0
270,22,بكر,ابو,اسحاق,حزام,2,3,21.0,1.0,,,,
511,13,بلادكم,وعليكم,تمنعوا,ابتناه,2,4,,,,12.0,1.0,
245,24,بلبان,بكتوت,سيف,العلاءي,1,4,,24.0,,,,
548,12,بمفاتيح,بالرعب,الكلم,ناءم,1,4,12.0,,,,,
542,12,بنبوته,اسرافيل,والشء,فتوفيت,1,11,12.0,,,,,
8,1113,بنت,الحارث,وام,عوف,5,390,811.0,260.0,3.0,35.0,4.0,
34,240,بنت,ام,فاطمة,اسماء,2,10,179.0,61.0,,,,
111,54,بنو,محارب,ذبيان,الحشحاش,1,1,54.0,,,,,
454,14,بويع,لدين,بالله,المستكفي,4,12,,3.0,1.0,6.0,4.0,
61,115,بيروت,تحقيق,العلمية,دار,2,12,111.0,,,,,4.0
207,29,بيموند,عشرينه,وفي,وعقل,4,29,,2.0,1.0,2.0,24.0,
295,20,تاريخ,لابن,للذهبي,طبقات,1,5,,20.0,,,,
474,13,تاولا,ورقها,المشارقة,ارجلهم,4,10,,1.0,2.0,8.0,2.0,
271,22,تبارك,وتعالي,اخبرني,عاءشة,1,18,22.0,,,,,
248,24,تبارك,وتعالي,ثنا,رضي,1,23,24.0,,,,,
595,11,تبارك,وتعالي,وليلتها,عاءشة,1,9,11.0,,,,,
450,14,تت,اا,فق,تة,1,1,,,,,,14.0
300,20,تخرب,معصية,الخراب,امنة,3,15,15.0,3.0,,2.0,,
471,14,تخرم,بعطن,المنامات,نزعه,2,12,12.0,2.0,,,,
500,13,ترتيبها,اجمعها,والفراشين,فانظرها,4,10,,1.0,3.0,8.0,1.0,
380,16,تسبيحة,سبحت,ركعة,سجدة,3,5,,,7.0,6.0,3.0,
559,11,تسمي,غوثة,وورسة,وسقيا,1,3,11.0,,,,,
94,69,تشاء,منهن,ترجي,وتءوي,1,24,69.0,,,,,
537,12,تشهد,وتشميت,الصلاة,بواجبة,1,9,12.0,,,,,
30,267,تعالي,الانبياء,القران,معجزة,5,135,254.0,4.0,2.0,6.0,1.0,
211,28,تعطه,تشفع,وسل,واشفع,1,8,28.0,,,,,
375,16,تعمد,يجوز,منفرا,الخلاف,1,9,16.0,,,,,
531,12,تغري,ولاية,باستقرار,المجنون,1,12,,,,,12.0,
235,26,تفضيل,وذهب,قول,افضل,3,17,23.0,2.0,,,1.0,
334,18,تقوم,الساعة,امتي,تزال,1,10,18.0,,,,,
314,19,تلمسان,فاس,قفصة,مرين,3,14,,8.0,4.0,,7.0,
437,14,تمكنه,والتجار,مالا,مهابته,4,13,,4.0,1.0,3.0,6.0,
573,11,تنازعتم,وقوله,والرسول,لولا,3,10,8.0,2.0,,,1.0,
210,28,تهبها,شكار,بركات,فتخبره,4,28,,7.0,3.0,3.0,15.0,
440,14,ثقبة,عجلان,بعجلان,حافين,3,10,,4.0,3.0,,7.0,
66,106,ثلثماءة,الف,يوما,السنة,2,40,2.0,,,104.0,,
557,11,ثم,قوله,اقسم,حم,1,2,11.0,,,,,
513,13,جءت,الاذل,فجاج,وصفوان,1,13,13.0,,,,,
282,21,جاهلي,للفاخرين,البعيث,فاحق,3,19,3.0,16.0,,2.0,,
191,31,جبريل,امرتني,اجدني,واجدني,1,13,31.0,,,,,
