Topic,Count,t1,t2,t3,t4,booksInTopic,msCount,0845Maqrizi.ImtacAsmac.Shamela0001524-ara1,0845Maqrizi.Muqaffa.Shamela19Y0145334-ara1,0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.completed,0845Maqrizi.Mawaciz.MAB02082022-ara1.completed,0845Maqrizi.Suluk.Shamela0006667-ara1.mARkdown,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1
337,18,دينارين,للمسلمين,فيءا,قريات,1,8,,,,18.0,,
21,299,ذراعا,اصابع,اصبعا,النيل,5,164,,3.0,9.0,14.0,268.0,5.0
227,26,ذراعا,اصبعا,اللجة,الاثني,3,11,,,,23.0,2.0,1.0
170,35,ذهب,وحمل,مذهبة,وقلد,4,22,,11.0,15.0,3.0,6.0,
512,13,راءق,احمدبن,شيبان,بجكم,3,11,,11.0,1.0,1.0,,
107,56,راسا,الساباط,ناقة,عليقة,4,43,,9.0,4.0,32.0,11.0,
430,15,راني,المنام,يتمثل,الشيطان,1,3,15.0,,,,,
349,18,راية,ولواء,وراية,يحملها,1,3,18.0,,,,,
232,26,رايت,بينا,ناءم,المنام,3,10,23.0,2.0,,1.0,,
585,11,رحمتك,الدعاء,ابواب,وليقل,1,10,11.0,,,,,
590,11,رسغاي,خلع,واستقر,الخاص,2,11,,1.0,,,10.0,
4,2740,رسول,وسلم,صلي,عليه,3,1081,2708.0,26.0,,6.0,,
613,10,رضي,تبارك,وتعالي,عاءشة,1,10,10.0,,,,,
305,20,رق,يث,هيعة,وين,1,2,,20.0,,,,
29,268,رقم,ارقام,رقما,ابن,2,24,,267.0,,,,1.0
222,27,ركعات,يسلم,اخرهن,يجلس,1,7,27.0,,,,,
478,13,رواتب,ووفر,وغلمان,وقطعت,3,6,,2.0,,2.0,9.0,
529,12,روينا,تكونا,قصة,وتشبه,2,11,11.0,1.0,,,,
432,15,زر,جبريل,حافاته,جناح,1,7,15.0,,,,,
82,80,زلزلة,زلزلت,شظا,عادت,5,41,24.0,6.0,9.0,6.0,35.0,
139,43,زملوني,المدثر,بحراء,فانذر,1,14,43.0,,,,,
402,15,زنكي,شيركوه,تكريت,ايوب,4,8,,1.0,3.0,3.0,8.0,
383,16,زينت,تخت,الغاشية,التخت,3,16,,3.0,,1.0,12.0,
387,16,سعد,ليث,القرظ,طريف,1,1,16.0,,,,,
175,34,سعيد,سفيان,راشد,القداح,1,2,34.0,,,,,
624,10,سقاها,هز,كميا,القناة,3,9,1.0,8.0,,1.0,,
601,10,سليمان,الشيباني,سحيم,عبلة,1,2,10.0,,,,,
180,33,سمرة,سفينة,يزال,عزيزا,2,23,31.0,2.0,,,,
602,10,سندر,مسروح,زنباع,الخصي,3,8,1.0,7.0,,2.0,,
218,27,سهم,السهمان,شاة,سهمان,2,17,26.0,,,1.0,,
424,15,سوارين,فاولتهما,فنفختهما,فطارا,2,8,14.0,1.0,,,,
12,614,سورة,الذين,امنوا,ورسوله,6,141,526.0,21.0,13.0,24.0,3.0,27.0
273,22,سويتهم,محصرينا,الناظرينا,سوينا,3,19,18.0,2.0,,2.0,,
50,145,شادي,ايوب,الملك,المظفر,4,96,,44.0,,15.0,85.0,1.0
128,46,شاور,ثمال,مرداس,ضرغام,5,37,,16.0,15.0,10.0,4.0,1.0
148,40,شاور,ضرغام,عسكر,الدربند,4,35,,3.0,6.0,9.0,22.0,
38,214,شعره,ومن,الكامل,وستماءة,4,175,,196.0,3.0,8.0,7.0,
294,21,شفاء,شفاءك,سقما,يغادر,1,13,21.0,,,,,
405,15,شكورا,افلا,ذنبك,قدماه,2,7,14.0,1.0,,,,
444,14,شلقان,الجسرين,ومبشر,واسفل,4,7,,7.0,4.0,1.0,2.0,
576,11,شمط,يخضب,اذنيه,شعر,1,7,11.0,,,,,
436,14,شيبتني,هود,حرف,بارك,1,8,14.0,,,,,
90,73,شيركوه,شاور,الفرنج,هولاكو,4,49,,6.0,10.0,19.0,38.0,
439,14,صا,لولده,اشمون,واعطي,1,8,,,,14.0,,
421,15,صار,قلاوون,الخدم,الناصر,3,15,,3.0,,7.0,5.0,
350,18,صداق,جسورها,فتعدل,بضاعة,4,15,,2.0,1.0,14.0,,1.0
155,39,صدقة,اهدية,شبع,لاكلتها,1,19,39.0,,,,,
112,54,صل,مجيد,ال,صليت,1,21,54.0,,,,,
131,45,صلاة,مسجدي,الحرام,افضل,2,15,41.0,,,4.0,,
187,32,صلاها,صلاة,خلفه,بالناس,1,9,32.0,,,,,
42,197,ضعيف,معين,حديثه,متروك,2,100,157.0,40.0,,,,
416,15,طاردهم,يطاردون,وانفل,مذكورون,4,13,,2.0,2.0,5.0,6.0,
614,10,طالب,الحسن,موسم,ووجدانه,4,10,,6.0,1.0,1.0,2.0,
267,22,طالب,الصادق,الحسين,اسماعيل,5,17,1.0,7.0,7.0,6.0,1.0,
18,385,طليحة,خالد,طيء,المشركين,4,192,370.0,12.0,1.0,2.0,,
11,664,طويل,كامل,بسيط,وافر,3,62,10.0,653.0,,1.0,,
516,12,طويل,وافر,الماما,لليلك,1,10,,12.0,,,,
77,84,ظاهرين,تقوم,امتي,الساعة,2,40,83.0,,,1.0,,
304,20,عارضني,سارني,جبريل,مرتين,2,17,18.0,2.0,,,,
163,37,عاقلا,الهمة,الاخلاق,حافظا,4,26,,21.0,2.0,2.0,12.0,
291,21,عبرات,بزويلة,وتساقطت,والهناء,3,19,,3.0,,7.0,11.0,
265,22,عثمان,موهب,المغيرة,طالوت,1,4,22.0,,,,,
298,20,عشره,وعاد,وفي,للمغاربة,2,19,,,1.0,,19.0,
204,29,عشريه,يطلع,الفجر,عشره,1,8,,,,29.0,,
70,98,عقب,اسماعيل,وولد,فولد,4,20,5.0,14.0,71.0,8.0,,
225,26,علو,وتقريبه,تعالي,وارادته,1,20,26.0,,,,,
54,135,علياء,سيده,خندف,نطاق,3,56,88.0,7.0,,40.0,,
525,12,عليك,نصلي,صليت,مجيد,1,8,12.0,,,,,
-1,129784,عليه,الي,قال,من,6,3802,40677.0,29260.0,7216.0,20902.0,30609.0,1120.0
401,15,عمده,وطول,اذرع,جريد,1,6,15.0,,,,,
427,15,عمر,التسارعي,اليعلمي,عيسي,1,5,,15.0,,,,
168,35,عمر,الدرفس,الغادية,غياث,1,1,35.0,,,,,
489,13,عمرة,حجته,اعتمر,اعتمرها,1,10,13.0,,,,,
149,40,عمرو,الوليد,معاوية,عتبة,1,8,40.0,,,,,
106,58,عندنا,وسيوفنا,وخنتم,الغطاء,5,19,1.0,21.0,3.0,2.0,31.0,
622,10,عنكما,المقداد,فنجا,يلقي,1,9,10.0,,,,,
172,35,عوضا,قضاء,السر,كتابة,2,28,,1.0,,,34.0,
9,937,عوضا,واستقر,قضاء,الدين,4,521,,42.0,4.0,35.0,856.0,
43,189,عيسي,موسي,محمد,احمد,3,74,2.0,186.0,,,,1.0
347,18,فاتوا,اوحينا,مفتريات,تعالي,1,14,18.0,,,,,
64,109,فاس,تونس,المريني,الموحدين,4,74,,20.0,3.0,2.0,84.0,
301,20,فانصرفوا,فتهاون,متكافءين,لاستخفافه,4,18,,11.0,4.0,2.0,3.0,
445,14,فتشبث,عامكم,فسماهم,جدب,2,13,13.0,1.0,,,,
316,19,فجعلني,خيرهم,جعلهم,فسكتوا,1,9,19.0,,,,,
130,46,فخر,تنشق,القيامة,وانا,1,10,46.0,,,,,
193,31,فرجعت,امتك,ربك,التخفيف,1,11,31.0,,,,,
169,35,فرعون,شاءوا,تعالي,الايكة,6,23,2.0,3.0,1.0,27.0,1.0,1.0
479,13,فسبحن,فوضعهن,فخرسن,ناولهن,1,3,13.0,,,,,
278,21,فسطاط,الفسطاط,العاص,يوقد,1,17,,,,21.0,,
521,12,فصل,مغانم,اعلم,حروبه,1,10,12.0,,,,,
464,14,فصلي,صل,حين,اتاه,1,4,14.0,,,,,
398,16,فصلي,صليت,فامني,فصليت,1,6,16.0,,,,,
523,12,فقاتلا,وربك,قاعدون,مقاتلون,1,5,12.0,,,,,
2,4889,فقال,الكوفة,الحجاج,مروان,6,1321,398.0,3302.0,201.0,848.0,136.0,4.0
55,135,فقال,رسول,والله,يا,3,95,132.0,2.0,,1.0,,
360,17,فقصصتها,العروة,فرقيت,استمسك,1,6,17.0,,,,,
539,12,فقلت,صبوت,فعلت,واجاف,2,9,10.0,2.0,,,,
299,20,فلينصرف,ويبكر,زيدان,برجوان,4,16,,3.0,6.0,5.0,6.0,
519,12,فمها,عينان,وسواد,اظافر,2,10,,,,7.0,5.0,
92,70,فياتون,فيقول,هناكم,اءتوا,2,23,69.0,1.0,,,,
284,21,فيتكلمون,خراسانيون,ثعلب,فتشوف,4,18,,7.0,1.0,9.0,4.0,
422,15,فيتوجه,طاز,للعامة,روس,3,14,,1.0,,4.0,10.0,
261,23,فينتقم,اثما,ايسرهما,امرين,1,6,23.0,,,,,
182,33,قالت,السراويل,الغار,ايتمت,2,27,23.0,10.0,,,,
160,37,قالت,فتبعته,قلت,لاتبعنه,3,31,34.0,1.0,,2.0,,
407,15,قبلاي,ادي,سنجر,عمه,4,10,,3.0,3.0,1.0,8.0,
574,11,قتله,طالب,عقيل,هاني,1,2,,11.0,,,,
87,76,قرا,وقرا,التابعون,النجود,2,15,74.0,2.0,,,,
288,21,قرا,يلوك,قيصرية,لمحاصرة,2,14,,1.0,,,20.0,
238,26,قريش,والله,صياصي,واطامها,2,24,23.0,3.0,,,,
185,32,قضاء,عوضا,القفصي,المالكية,2,26,,1.0,,,31.0,
20,342,قلاوون,الخدم,ترقي,المماليك,4,199,,232.0,,53.0,52.0,5.0
379,16,قلاوون,وسبعماءة,فباشر,الظاهر,3,16,,9.0,,6.0,1.0,
46,167,قماش,ضريبة,قرمطية,الاقباط,2,12,1.0,166.0,,,,
35,233,قيس,ربيعة,مالك,عامر,2,30,232.0,1.0,,,,
115,53,قيل,مرحبا,فاستفتح,جبريل,1,13,53.0,,,,,
487,13,كالبركة,فيبقي,فتنبهوا,الجرن,3,11,,6.0,,5.0,2.0,
37,217,كثير,نهر,حبرون,سجن,3,13,38.0,167.0,,,,12.0
475,13,كخ,الصدقة,قط,فجعلها,1,11,13.0,,,,,
321,19,كرحمان,بنهيهم,انسة,اطلع,1,13,19.0,,,,,
558,11,كرنبس,كنز,عاملة,والفرنج,3,11,,1.0,1.0,,9.0,
410,15,كفروا,انسيتم,الملاءكة,واذ,2,12,14.0,1.0,,,,
179,33,كفن,اثواب,قميص,عمامة,1,8,33.0,,,,,
592,11,كفيه,شقيق,قفده,قفدني,1,11,11.0,,,,,
594,11,كهلان,ساكني,جحدر,جديس,1,2,,11.0,,,,
279,21,كيغلغ,طغج,تكين,مقدمته,2,8,,18.0,,3.0,,
28,274,لابن,شرح,لاسامة,مماتي,1,21,,274.0,,,,
181,33,لاحق,فثقوا,ودركا,فبالله,4,22,14.0,11.0,2.0,6.0,,
329,19,لحراسة,وفيه,ودلينس,وملوخية,3,18,,,2.0,2.0,15.0,
596,10,لحوقا,غرت,شبها,زينب,2,10,9.0,,,1.0,,
151,40,لغات,احرف,القران,سبعة,4,20,35.0,2.0,,2.0,,1.0
553,11,لغة,ومنها,مضر,لغات,2,6,10.0,1.0,,,,
44,187,لقبه,نسبته,المترجم,الصفحة,1,99,,187.0,,,,
268,22,لكتاب,فقلت,الشاهدين,قلت,2,13,8.0,14.0,,,,
418,15,للقبالات,وعسلوج,الاموال,للنداء,3,12,,,2.0,9.0,4.0,
231,26,لنردنكم,فءتكم,اكفرت,فءاتها,2,24,23.0,3.0,,,,
570,11,لواء,رايات,الاوس,الخزرج,1,7,11.0,,,,,
431,15,ليعبي,لامراء,صفد,ناءب,2,12,,1.0,,,14.0,
184,32,مءنس,حباسة,المهدي,افريقية,4,24,,15.0,6.0,7.0,4.0,
331,19,متعبدا,علمنا,بالتواتر,شرعهم,2,16,18.0,1.0,,,,
420,15,مثقالا,ند,زعفران,مثلث,2,4,,8.0,,7.0,,
603,10,مجايي,لقلتهم,يدفنها,وهجروا,4,9,,1.0,1.0,,5.0,3.0
83,80,مجرب,عين,العقابا,الاتلدا,1,2,80.0,,,,,
6,1818,محمد,ابراهيم,احمد,بن,4,228,17.0,1793.0,,,3.0,5.0
100,62,محمد,يحيي,المروزي,سهل,1,9,62.0,,,,,
608,10,مخضب,اعهد,لحفصة,تحلل,1,8,10.0,,,,,
377,16,مدركة,فهر,الياس,كنانة,2,10,9.0,7.0,,,,
373,16,مرقق,قط,لقتادة,خبز,1,7,16.0,,,,,
607,10,مزارعه,الجالية,ويصدر,يستادي,2,8,,,,8.0,2.0,
586,11,مستحقها,بحقها,والنهي,المنكر,3,6,,5.0,,2.0,4.0,
388,16,مسست,شممت,الين,ديباجا,1,6,16.0,,,,,
560,11,مشقوقة,بالطول,فقالت,فارتعت,3,9,2.0,7.0,,2.0,,
253,23,مشويا,موكبي,اسمال,فالجاني,2,19,2.0,21.0,,,,
399,15,مطعم,جبير,اسيد,ويهودية,2,15,14.0,1.0,,,,
534,12,مقدمه,فقدما,الشواني,السبت,3,12,,5.0,,1.0,6.0,
483,13,مقلتها,اجلالها,حييت,اقضي,2,13,,11.0,,,2.0,
477,13,مقياسا,مقياس,الذرع,بحلوان,1,10,,,,13.0,,
452,14,ملجم,مراد,كلدة,تجوب,3,9,1.0,12.0,,1.0,,
446,14,ملو,شاه,دله,الب,3,11,,3.0,2.0,,9.0,
406,15,ممهدة,موطاة,الحلواني,ماتا,3,9,,10.0,2.0,3.0,,
289,21,مناشير,تربيعها,اكتمال,مرابط,1,15,,,,21.0,,
547,12,منامه,ورفق,الغول,الطنبدي,5,12,2.0,5.0,2.0,1.0,2.0,
239,25,منبره,الجنة,يحتمل,لملازمة,1,13,25.0,,,,,
27,279,مهملة,المهملة,بفتح,وسكون,5,161,7.0,232.0,,38.0,1.0,1.0
378,16,موسم,الجبن,يستعمله,يوضع,1,8,,,,16.0,,
342,18,موسي,سرجس,مءمل,عمير,1,4,18.0,,,,,
491,13,مولاكم,الفرح,اليسع,كتامة,3,7,,9.0,2.0,2.0,,
165,36,ميثاق,تعالي,النبيين,والرسول,2,28,35.0,,1.0,,,
510,13,ميلا,وعشرون,عشرون,اربعة,2,4,,,,11.0,,2.0
93,70,ناءب,حلب,المحمدي,الامير,3,61,,11.0,,1.0,58.0,
196,30,ناءب,حلب,الهاربون,صفد,2,27,,,1.0,,29.0,
176,34,ناءب,حلب,حماة,الامير,2,25,,1.0,,,33.0,
60,120,ناءب,صفد,والامير,غزة,3,81,,21.0,,1.0,98.0,
575,11,نبع,بعصاه,الحجر,الماء,1,6,11.0,,,,,
71,98,نزار,وافتكين,تونس,هفتكين,4,59,,40.0,20.0,26.0,12.0,
568,11,نزدد,اني,صديقا,رايتها,2,11,10.0,1.0,,,,
536,12,نساءه,زوجاته,وايلاءه,هجره,1,10,12.0,,,,,
275,22,نسبه,نسبهم,العلويين,صحة,4,13,,10.0,6.0,5.0,1.0,
17,419,نشر,بيروت,لابن,القاهرة,3,46,6.0,335.0,,,,78.0
230,26,نصف,بكمالها,ثلث,الصالحي,2,5,,2.0,,,24.0,
466,14,نصيفه,تسبوا,مد,انفق,1,5,14.0,,,,,
296,20,نعيمان,العراف,لتخبرني,المقداد,1,19,20.0,,,,,
202,29,نكاحهن,امهات,الامومة,كالامهات,1,15,29.0,,,,,
508,13,نهارهم,وقضوا,ومقدميها,ضيافتهم,4,11,,2.0,5.0,2.0,4.0,
97,66,نوبة,وايبك,ويشبك,الساقي,2,48,,9.0,,,57.0,
5,1837,نوح,اسراءيل,فرعون,السلام,6,392,112.0,143.0,11.0,1519.0,35.0,17.0
488,13,نيابته,يعاقب,زلة,يتوقع,2,12,,9.0,,4.0,,
228,26,هءلاء,الوانهم,جبريل,وبكم,2,10,22.0,4.0,,,,
76,85,هارون,المءمنين,امير,ولا,4,22,,70.0,2.0,11.0,2.0,
144,41,وابو,وعبد,والبراء,عازب,3,18,37.0,3.0,,1.0,,
565,11,واتيتم,واعطيتم,اقمتم,وسهم,1,8,11.0,,,,,
318,19,واحلت,قبلي,بالرعب,وطهورا,1,8,19.0,,,,,
358,17,واخبر,وانذر,يستشهد,وان,1,3,17.0,,,,,
443,14,واخره,وربيع,وشوال,وذو,2,4,4.0,,,10.0,,
143,42,وارث,والقوانين,غاءب,المواريث,6,23,1.0,11.0,11.0,9.0,9.0,1.0
216,28,واستقر,الصحبة,وخلع,البشيري,2,25,,,,1.0,27.0,
251,24,واستقر,عوضا,المفرد,استقر,2,23,,1.0,,,23.0,
328,19,واستقر,عوضا,المقسي,نظر,2,19,,,1.0,,18.0,
32,255,واستقر,عوضا,باقطاع,نيابة,2,160,,9.0,,,246.0,
325,19,واستقر,مضافا,عوضا,الاسعدي,1,17,,,,,19.0,
49,149,واشهد,اله,شريك,عبده,6,60,36.0,52.0,25.0,17.0,12.0,7.0
564,11,واصطبلا,درباس,انشاها,بجوار,1,9,,,,,11.0,
102,61,واعظمهم,ولا,واصدقهم,جليسه,4,19,52.0,6.0,2.0,1.0,,
269,22,واغزي,افريقية,القبط,بحنس,2,14,,16.0,,6.0,,
411,15,واكل,والتمر,ولحم,خبز,1,5,15.0,,,,,
286,21,والارامل,سلوكه,واستعاذ,ولا,4,11,,5.0,1.0,13.0,2.0,
468,14,والاقوات,صفوا,والازواد,العظيمة,4,7,,1.0,1.0,5.0,7.0,
351,18,والامير,جانم,طوغان,بعسكر,2,17,,,,1.0,17.0,
252,23,والامير,سودن,يشبك,بيغوت,1,21,,,,,23.0,
244,24,والخالص,الارتفاع,الكلف,درهم,2,4,,,,23.0,,1.0
233,26,والسبعون,والعشرون,مرتين,وقتين,1,17,26.0,,,,,
517,12,والغلمان,وكتبت,الشرابية,والجودرية,2,2,,,5.0,7.0,,
195,31,والكتم,بالحناء,يصبغ,الغانمية,1,17,31.0,,,,,
476,13,والمسند,بالمرتبة,الطراحة,والحاجب,2,5,,,4.0,9.0,,
368,17,والنيران,الاحطاب,فانتكي,الطرادين,4,14,,4.0,3.0,3.0,7.0,
173,35,وامير,والدوادار,وراس,اخور,2,19,,1.0,,,34.0,
309,19,وانهار,نهران,باطنان,ونهران,2,8,16.0,,,3.0,,
462,14,واوقدنا,فاخرجنا,ادهم,الحطب,2,8,3.0,11.0,,,,
597,10,واوله,فصل,المجلد,تحرس,1,10,10.0,,,,,
366,17,وبات,المماليك,القلعة,الجراكسة,2,17,,,,1.0,16.0,
125,47,وبنت,الصيانة,النساء,العجاءز,4,32,,,5.0,12.0,25.0,5.0
495,13,وتحكمه,ملاذه,دالته,وتعرضه,3,12,,1.0,,1.0,11.0,
152,39,وترعة,توت,وبعض,تفتح,2,7,,1.0,,38.0,,
502,13,وتسعين,برقوق,السجن,كبجكي,3,13,,8.0,,3.0,2.0,
374,16,وجابر,ومعاذ,وابو,وعبد,3,11,11.0,3.0,,2.0,,
254,23,وجرح,تكلان,العادلي,النصر,3,16,,2.0,,2.0,19.0,
369,17,وجعلت,امتك,وجعلتك,الانبياء,1,6,17.0,,,,,
146,41,وحدثني,سبرة,عن,كالبجد,3,36,35.0,4.0,,2.0,,
438,14,وخراب,اليهود,التبت,يخفرهم,2,5,6.0,,,8.0,,
302,20,ودي,خرص,وعاد,شوال,3,17,,15.0,,3.0,2.0,
306,20,وذكره,باب,الاعتكاف,ترجم,1,18,20.0,,,,,
137,43,وذكره,كتاب,وخرجه,باب,2,38,42.0,,,1.0,,
507,13,وذمة,حاصرت,فارادوك,ذمة,2,4,12.0,,,1.0,,
499,13,ورايت,امتي,فجاءه,رجلا,1,2,13.0,,,,,
515,12,ورباعيات,ودراهم,فجروا,جفان,3,7,,1.0,,10.0,1.0,
359,17,ورتب,لاقراء,ودرسا,راتبا,3,10,,2.0,,14.0,1.0,
509,13,ورضوا,سلموا,علينا,السويق,1,13,13.0,,,,,
198,30,وسبعماءة,التدين,مراع,مظاهرا,4,28,,16.0,3.0,7.0,4.0,
543,12,وستماءة,احدي,اثنتين,بدمشق,1,12,,12.0,,,,
247,24,وسجن,فقلعت,بقلع,مسالمة,3,23,,1.0,,1.0,22.0,
310,19,وسقا,وسق,بجاد,ولام,1,4,19.0,,,,,
0,10687,وسمع,وابي,وكتاب,وتوفي,6,1820,109.0,8501.0,35.0,220.0,1800.0,22.0
458,14,وسمي,وعتلة,وحباب,المنبعث,2,8,13.0,1.0,,,,
53,136,وسيدنا,صلوات,المءمنين,مولانا,4,57,,53.0,59.0,19.0,5.0,
116,52,وشق,ركب,القنطرة,زويلة,4,39,,1.0,2.0,1.0,48.0,
327,19,وشهد,وتوفيت,وهاجر,ربيبة,2,17,16.0,3.0,,,,
425,15,وصلاة,المربعون,المخمسون,صاءمون,3,4,,4.0,3.0,8.0,,
323,19,وصية,ابقيت,رضي,احفظ,2,16,16.0,,,3.0,,
414,15,وظيفة,بتوصية,التعليمية,المقريزي,3,5,6.0,2.0,,,,7.0
621,10,وعزل,دولات,ولاية,وكاشف,2,10,,1.0,,,9.0,
433,15,وعزل,وفيه,ثقبة,زوادته,1,15,,,,,15.0,
370,17,وعقد,وامره,هرثمة,ومعونة,3,12,7.0,9.0,,1.0,,
224,26,وعمره,تخت,الملك,قلاون,3,21,,1.0,,13.0,12.0,
363,17,وعنفوه,وارادوه,فقبض,القلعة,4,16,,2.0,1.0,1.0,13.0,
255,23,وغطفان,بالابرق,واقامت,بسميراء,4,15,5.0,5.0,2.0,11.0,,
472,14,وغوث,المباركة,افضل,بالرحمة,2,6,1.0,,,13.0,,
124,47,وفيه,الكتان,هبوب,وتسقي,1,10,,,,47.0,,
611,10,وقاضي,سالم,القضاة,الحنابلة,2,9,,,,1.0,9.0,
101,61,وقاضي,وناظر,الدين,القضاة,3,29,,2.0,,1.0,58.0,
274,22,وقباءلهم,بصحبته,وبيننا,التعليم,3,6,,6.0,6.0,10.0,,
540,12,وقلتكم,وعنكم,لضعفكم,تغشاكم,2,5,,5.0,,7.0,,
260,23,وقلعة,وتل,وحصن,وانطاكية,3,9,,,6.0,10.0,7.0,
348,18,وقوله,الذنب,عفوك,تجنوا,3,14,,16.0,,1.0,1.0,
62,113,وقيل,الهجرة,عشرة,اشهر,4,63,98.0,6.0,2.0,7.0,,
467,14,وكل,املكه,الحرج,اتزوجها,2,5,,10.0,,4.0,,
133,44,وكورة,ومدينة,كورة,قرية,1,6,,,,44.0,,
461,14,ولدك,بمهرك,يفعل,بالنساء,3,8,,5.0,6.0,3.0,,
335,18,ولذي,وللرسول,واليتامي,القربي,2,6,16.0,,,2.0,,
600,10,ولزمته,بدويا,وراق,فجاءنا,2,8,,9.0,,,1.0,
463,14,وماءتين,انقضت,وسبعين,رحمة,1,6,,,,14.0,,
545,12,ومسح,يشب,فبرات,فاناف,1,3,12.0,,,,,
620,10,ومقدمهم,حمص,الاشرف,الخوارزمية,2,10,,,,1.0,9.0,
419,15,ومنها,امة,وكلامهم,ورءوسهم,1,3,,,,15.0,,
362,17,ومولده,وسبعماءة,الخلاطي,قضاء,3,16,,8.0,,2.0,7.0,
118,50,وناءب,وناءبه,الامير,حماة,2,19,,,,2.0,48.0,
579,11,ونازل,الفرنج,واسر,قلعتها,3,10,,1.0,,4.0,6.0,
353,17,ونبيك,عبدك,دعاك,لاهل,1,8,17.0,,,,,
580,11,ونجاد,وثعلبة,وخزام,الازعر,2,10,8.0,3.0,,,,
578,11,وهيب,المدبر,بارزطغاي,ينظر,3,10,,8.0,2.0,,1.0,
435,14,ووليه,البسملة,المءمنين,واخر,4,11,,1.0,8.0,1.0,4.0,
563,11,ويتطارح,باحث,ويتواضع,ويتعاظم,4,8,2.0,3.0,,3.0,3.0,
492,13,ويحلفون,نميت,وينكرونها,صاغرين,2,11,12.0,,1.0,,,
315,19,ويزرع,ويدرك,الفدان,برموده,1,4,,,,19.0,,
119,49,ويظفره,حدودي,ويسلمه,اولياءي,5,28,2.0,27.0,7.0,10.0,3.0,
219,27,ويقرا,ركوعا,ويصوم,يركع,4,15,1.0,17.0,,6.0,3.0,
14,579,يا,هل,امتي,لا,3,80,577.0,1.0,,1.0,,
501,13,يبغته,رتبة,يحنط,مغشوش,4,9,1.0,3.0,,6.0,3.0,
535,12,يجوزها,معاوضة,احتمالهم,جالية,4,9,,2.0,1.0,4.0,5.0,
451,14,يحجون,يقولون,عامين,حجوا,2,4,13.0,,,1.0,,
226,26,يحيي,زكريا,زيان,يزيد,1,2,26.0,,,,,
290,21,يخربهما,واخبر,ييبس,جاثمة,3,18,13.0,5.0,,3.0,,
567,11,يخطفان,جبريل,مخلوقا,فابدي,2,9,9.0,2.0,,,,
188,32,يرث,زني,يعتقن,للزوج,4,14,3.0,6.0,1.0,22.0,,
561,11,يرميه,الطاهر,النعل,الهلال,3,11,,8.0,2.0,1.0,,
480,13,يزاد,عهدهم,عدوهم,نساءهم,3,7,2.0,,1.0,10.0,,
428,15,يزيد,الحكم,نمران,حكيمة,1,3,15.0,,,,,
73,94,يزيد,القيروان,المنصور,القاءم,5,39,3.0,33.0,55.0,1.0,2.0,
486,13,يستكثر,ورثته,بالحرير,الزيار,3,10,,4.0,,6.0,3.0,
105,59,يشتمل,اخبار,انحاء,التعاليم,5,23,4.0,2.0,7.0,39.0,7.0,
263,22,يصبر,صالح,يحفظ,عجينة,3,17,2.0,19.0,,1.0,,
220,27,يعقوب,داود,خالد,ايوب,2,12,20.0,7.0,,,,
162,37,يقاتلان,المقدام,اخبرنا,ربعهما,2,32,36.0,1.0,,,,
532,12,يمان,افءدة,يمانية,والحكمة,1,1,12.0,,,,,
319,19,يمرق,يمرقون,الرمية,يجاوز,2,10,17.0,2.0,,,,
582,11,يموتن,الظن,يحسن,احدكم,1,8,11.0,,,,,
352,17,يونس,الايلي,حراب,مزيد,1,1,17.0,,,,,
