Topic,uri,ms
121,0827BadrDinDamaminiMakhzumi.MasabihJamic.Sham19Y0016684-ara1,1258
121,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,2137
121,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,2274
121,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,2728
121,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,3588
121,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,3607
121,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,3700
121,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,3720
121,0842IbnNasirDinDimashqi.JamicAthar.ShamAY0034447-ara1,1083
121,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,337
121,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,501
121,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,2144
69,0840MahdiAhmadIbnYahyaHasani.Faraid.Zaydiyya0000337-ara1,53
380,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,5652
99,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,2765
99,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,807
326,0840ShihabDinBusiri.IthafKhayra.Shamela0021765-ara1,2416
2156,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,507
611,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,353
49,0833IbnJazari.AsnaMatalib.Masaha001832-ara1,25
49,0840ShihabDinBusiri.IthafKhayra.Shamela0021765-ara1,2411
49,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,807
580,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,3195
