Topic,0179MalikIbnAnas.Muwatta,0150AbuHanifa.Musnad,0204Shafici.Musnad,0256Bukhari.Sahih,0241IbnHanbal.Musnad,0261Muslim.Sahih
-1,4,1,1,6,26,7
5,1,0,0,0,0,0
26,0,0,0,0,9,1
27,0,0,0,2,1,0
33,0,0,0,1,0,0
54,1,0,0,0,0,0
69,0,0,0,1,0,0
73,0,0,0,2,1,0
75,0,0,0,0,1,1
84,0,0,0,0,5,0
87,0,0,0,1,0,1
96,0,0,0,0,1,0
106,0,0,0,0,1,0
118,0,0,0,0,1,0
122,0,0,0,1,1,0
125,0,0,0,0,1,0
158,0,0,0,0,1,0
189,0,0,0,0,1,0
214,0,0,0,1,0,0
240,0,0,0,1,0,0
244,0,0,0,0,0,1
269,0,0,0,0,0,2
279,0,0,0,0,0,1
282,0,0,0,0,1,0
292,0,0,0,1,0,0
313,0,0,0,0,0,1
352,0,0,0,0,3,0
354,0,0,0,1,0,0
367,0,0,0,0,1,0
383,0,0,0,1,0,0
388,0,0,0,1,0,0
408,0,0,0,1,0,0
425,0,0,0,0,1,0
432,0,0,0,1,0,0
