Topic,0179MalikIbnAnas.Muwatta,0150AbuHanifa.Musnad,0204Shafici.Musnad,0256Bukhari.Sahih,0241IbnHanbal.Musnad,0261Muslim.Sahih
750,0,0,0,1,0,0
752,0,0,0,3,0,0
753,0,0,0,1,1,0
755,0,0,0,3,0,0
757,0,0,0,1,1,0
758,0,0,0,1,0,0
760,0,0,0,4,0,0
762,0,0,0,3,0,0
764,0,0,0,0,1,0
766,0,0,0,0,1,0
767,0,0,0,1,0,1
769,0,0,0,0,2,0
774,0,0,0,2,1,0
776,0,0,0,1,0,0
779,0,0,0,1,0,1
781,0,0,0,2,0,0
782,0,0,0,0,1,1
784,0,0,0,1,2,0
787,0,0,0,1,1,0
788,0,0,0,0,1,0
796,0,0,0,2,1,0
804,0,0,0,4,0,0
805,0,0,0,0,1,0
813,0,0,0,1,1,0
814,0,0,0,1,0,0
815,0,0,0,1,0,0
818,0,0,0,1,1,0
831,0,0,0,0,2,1
833,0,0,0,1,2,0
835,0,0,0,2,0,0
836,0,0,0,0,1,0
837,0,0,0,0,1,0
839,0,0,0,0,1,0
842,0,0,0,0,1,0
843,0,0,0,2,0,0
844,0,0,0,0,1,0
845,0,0,0,2,0,0
846,0,0,0,1,1,0
847,0,0,0,1,1,0
849,0,0,0,0,1,0
852,0,0,0,0,1,2
854,0,0,0,1,0,0
855,0,0,0,0,0,11
859,0,0,0,2,0,0
862,0,0,0,0,1,0
864,0,0,1,0,0,0
878,0,0,0,1,0,0
881,0,0,0,0,4,0
882,0,0,0,0,0,1
883,0,0,0,1,1,1
886,0,0,0,2,0,1
887,0,0,0,1,0,1
888,0,0,0,1,0,0
889,0,0,0,1,0,1
891,0,0,0,3,0,0
914,0,0,0,1,1,0
915,0,0,1,0,0,1
919,0,0,0,2,1,1
929,0,0,0,1,0,1
934,0,0,0,0,1,0
943,0,0,0,1,0,1
944,0,0,0,0,6,1
946,0,0,0,0,1,0
952,0,0,0,2,0,0
953,0,0,0,1,0,1
956,0,0,0,0,1,1
958,0,0,0,0,0,1
960,0,0,0,0,0,1
964,0,0,0,0,1,0
967,0,0,0,0,1,1
970,1,0,0,0,0,0
974,0,0,0,0,1,0
975,0,0,0,0,1,0
976,0,0,0,0,2,1
977,0,0,0,1,0,0
978,0,0,0,2,0,0
980,0,0,0,0,1,0
983,0,0,0,0,2,0
987,0,0,0,1,0,0
992,0,0,0,1,0,0
993,0,0,0,1,1,0
998,0,0,0,2,0,0
1004,0,0,0,0,1,0
1009,1,0,1,0,1,1
1015,0,0,0,1,2,0
1018,0,0,0,1,0,0
1020,0,0,0,1,0,0
1021,0,0,0,0,1,1
1023,0,0,0,0,0,1
1024,0,0,0,0,1,0
1026,0,0,0,3,0,0
1027,0,0,0,0,1,0
1031,0,0,0,1,0,0
1032,0,0,0,1,0,0
1036,0,0,0,0,2,0
1038,0,0,0,0,1,1
1042,0,0,0,0,1,0
1047,0,0,0,0,1,0
1048,0,0,0,1,0,0
1049,0,0,0,1,0,0
1051,0,0,0,1,1,0
1053,0,0,0,1,1,0
1062,0,0,0,0,3,0
1064,0,0,0,1,0,0
1074,0,0,0,0,2,2
1076,0,0,0,0,1,0
1079,0,0,0,1,0,0
1085,0,0,0,1,0,0
1086,0,0,0,1,0,0
1087,0,0,0,1,0,0
1088,0,0,0,2,0,0
1096,0,0,0,0,1,0
1098,0,0,0,0,1,0
1099,0,0,0,1,0,0
1101,0,0,0,0,0,1
1102,0,0,0,0,1,0
1103,0,0,0,1,0,0
1104,0,0,0,2,0,0
1105,0,0,0,0,1,0
1106,0,0,0,0,1,0
1113,0,0,0,2,0,0
1117,0,0,0,1,1,0
1121,0,0,0,0,0,1
1122,0,0,0,1,0,0
1124,0,0,0,1,0,0
1125,0,0,0,0,1,0
1126,0,0,0,2,0,0
1128,0,0,0,0,0,1
1129,0,0,0,1,0,0
1130,0,0,0,0,1,1
1132,0,0,0,1,0,1
1134,0,0,0,0,0,1
1136,0,0,0,1,1,0
1137,0,0,0,2,0,0
1139,0,0,0,1,0,0
1140,0,0,0,1,0,1
1142,0,0,0,0,2,1
1144,0,0,0,0,0,1
1145,0,0,0,1,1,0
1146,1,0,0,0,0,1
1150,0,0,0,1,0,0
1156,0,0,1,0,1,0
1158,0,0,0,0,0,1
1160,0,0,0,2,0,0
1163,0,0,0,1,0,0
1165,0,0,0,1,0,1
1168,0,0,0,0,2,0
1171,0,0,0,0,0,1
1176,0,0,0,1,0,0
1177,0,0,0,1,1,0
1178,0,0,1,0,0,0
1179,0,0,0,2,0,0
1180,0,0,0,1,0,0
1181,0,0,0,2,0,0
1182,0,0,0,0,1,0
1183,0,0,0,1,0,0
1186,0,0,0,1,0,0
1187,0,0,1,0,0,0
1189,0,0,0,1,0,0
1193,1,0,1,0,0,0
1196,0,0,0,2,0,0
1200,0,0,0,2,0,0
1204,0,0,0,2,0,0
1205,0,0,0,1,0,0
1207,0,0,0,1,0,0
1208,0,0,0,3,0,0
1209,0,0,1,0,0,0
1213,0,0,0,0,1,0
1216,0,0,0,2,0,0
1219,0,0,0,2,0,0
1225,0,0,0,0,2,1
1227,0,0,0,0,0,1
1232,0,0,0,0,1,0
1234,0,0,0,1,0,0
1240,0,0,0,0,1,0
1241,0,0,0,1,1,0
1242,0,0,0,1,0,1
1244,0,0,0,0,0,1
1246,0,0,0,1,0,0
1248,0,0,0,0,1,0
1252,0,0,0,0,1,0
1254,0,0,0,1,0,0
1256,0,0,0,2,0,0
1257,0,0,0,1,0,1
1258,0,0,0,1,0,0
1260,0,0,0,0,3,0
1268,0,0,2,0,0,0
1270,0,0,0,0,0,1
1271,0,0,0,1,0,0
1277,0,0,0,2,0,1
1279,0,0,0,0,2,1
1280,0,0,0,1,0,1
1282,0,0,0,1,1,0
1285,0,0,0,1,1,0
1286,1,0,1,0,0,0
1287,0,0,0,1,0,0
1289,0,0,0,1,1,0
1290,0,0,0,1,0,0
1291,0,0,0,2,0,0
1303,0,0,0,1,2,1
1304,0,0,0,1,0,0
1315,0,0,0,0,0,1
1317,0,0,0,2,0,0
1324,0,0,0,1,0,1
1327,0,0,0,2,0,0
1330,0,0,0,0,1,0
1333,0,0,0,1,0,0
1336,0,0,0,0,1,0
1338,0,0,0,1,0,0
1341,0,0,0,1,0,0
1345,0,0,0,1,2,0
1349,0,0,0,1,0,0
1355,0,0,0,1,0,0
1358,0,0,0,1,0,0
1361,0,0,0,0,0,1
1368,0,0,0,1,0,0
1371,0,0,0,0,2,1
1373,0,0,0,0,0,1
1382,0,0,0,1,0,0
1386,0,0,0,1,0,0
1390,0,0,0,2,0,0
1393,0,0,0,0,1,1
1395,0,0,0,1,0,0
1401,0,0,0,1,0,0
1403,0,0,0,0,0,1
1409,0,0,0,1,0,0
1410,0,0,0,0,1,0
1411,0,0,0,1,0,0
1415,0,0,0,1,0,0
1419,0,0,0,1,0,0
1424,0,0,0,1,0,1
1429,0,0,0,1,0,0
1430,0,0,0,0,1,0
1435,0,0,0,0,1,0
1437,0,0,0,0,1,0
1440,0,0,0,1,0,0
1445,0,0,0,1,0,0
1447,0,0,0,0,1,0
1450,0,0,0,0,4,0
1451,0,0,0,1,0,0
1457,0,0,0,1,1,0
1461,0,0,0,1,0,0
1463,0,0,0,1,0,0
1464,0,0,0,1,0,0
1465,0,0,0,0,3,0
1466,0,0,0,1,0,0
1467,0,0,0,2,0,0
1474,0,0,0,1,0,0
1476,0,0,0,1,0,0
1479,0,0,0,0,1,1
1480,0,0,0,0,2,0
1491,0,0,0,0,1,0
1494,1,0,1,0,0,0
1498,0,0,0,0,0,1
1506,0,0,0,1,0,0
1509,0,0,0,0,1,0
1515,0,0,0,1,0,0
1516,0,0,0,2,0,0
1520,0,0,0,0,1,1
1522,0,0,0,1,0,0
1523,0,0,0,1,0,0
1526,0,0,1,0,0,0
1528,0,0,0,1,0,0
1529,0,0,0,1,0,0
1530,0,0,0,1,0,0
1534,0,0,0,1,1,0
1535,0,0,0,0,0,1
1536,0,0,0,2,0,0
1538,0,0,0,0,1,0
1541,0,0,0,0,1,0
1548,0,0,0,1,0,0
1551,0,0,0,0,1,0
1554,0,0,0,0,0,1
1558,0,0,0,1,0,0
1559,0,0,0,0,1,0
1560,0,0,0,0,1,0
1561,0,0,0,1,0,0
1569,0,0,0,0,0,1
1570,0,0,0,0,1,0
1573,0,0,0,1,0,0
1575,0,0,0,0,1,0
1577,0,0,0,0,1,0
1586,0,0,0,1,0,0
1589,0,0,0,2,0,0
1592,0,0,0,1,0,0
1595,0,0,0,2,0,0
1597,0,0,0,1,1,0
1614,0,0,0,1,0,0
1617,0,0,0,0,0,2
1618,0,0,0,1,0,0
1619,0,0,0,1,0,0
1623,0,0,0,0,4,0
1627,0,0,0,0,1,0
1638,0,0,0,1,0,0
1643,0,0,0,0,1,0
1644,0,0,0,0,0,1
1647,0,0,0,1,0,0
1651,0,0,0,2,0,0
1656,0,0,0,1,0,0
1658,0,0,0,1,0,0
1663,0,0,0,0,2,0
1666,0,0,0,1,0,0
1668,0,0,0,0,0,1
1672,0,0,0,1,0,0
1673,0,0,0,1,0,0
1674,0,0,0,0,2,0
1675,0,0,0,1,0,0
1676,0,0,0,0,1,0
1683,0,0,0,1,0,0
1684,0,0,0,1,0,0
1692,0,0,0,1,1,0
1701,0,0,0,1,0,0
1703,0,0,0,0,1,0
1711,0,0,0,1,0,0
1712,0,0,0,0,1,0
1717,0,0,0,0,1,0
1719,0,0,0,1,0,0
1722,0,0,0,0,1,0
1727,0,0,0,0,1,0
1731,0,0,0,1,0,0
1732,0,0,0,0,1,0
1736,0,0,0,0,1,0
1739,0,0,0,1,1,0
1743,0,0,0,1,0,0
1749,0,0,0,1,0,0
1750,0,0,0,2,0,0
1752,0,0,0,0,0,1
1755,0,0,0,1,0,0
1757,0,0,0,1,0,1
1758,0,0,0,1,0,0
1761,0,0,0,1,0,0
1769,0,0,0,0,2,0
1770,0,0,0,1,0,0
1771,0,0,0,1,0,0
1776,0,0,0,1,0,0
1777,0,0,0,1,0,0
1780,0,0,0,1,1,0
1786,0,0,0,1,0,0
1787,0,0,0,0,1,0
1789,0,0,0,0,1,1
1799,0,0,0,2,1,0
1802,0,0,0,1,0,0
1804,0,0,0,1,0,0
1811,0,0,0,1,0,0
1820,0,0,0,1,0,0
1827,0,0,0,1,0,0
1829,0,0,0,1,0,0
1830,0,0,0,1,0,0
1833,0,0,0,1,0,0
1836,0,0,0,1,0,0
1837,0,0,0,0,1,0
1841,0,0,0,1,0,0
1846,0,0,0,1,0,0
1849,0,0,0,1,0,0
1858,0,0,1,0,0,0
1859,0,0,0,1,0,0
1866,0,0,0,1,0,0
1867,1,0,0,0,2,0
1873,0,0,0,1,0,0
1874,0,0,0,1,0,0
1880,0,0,0,0,1,0
1883,0,0,0,1,0,0
1885,0,0,0,1,1,0
1896,0,0,0,1,0,0
1898,0,0,0,1,0,0
1899,0,0,0,0,0,1
1900,0,0,0,1,0,0
1909,0,0,0,1,0,0
1911,0,0,0,1,0,0
1913,0,0,0,0,1,0
1921,0,0,0,1,0,0
1922,0,0,0,1,0,0
1930,0,0,0,0,1,0
1931,0,0,0,0,1,0
1934,0,0,0,1,0,0
1936,0,0,0,1,0,0
1938,0,0,0,0,0,1
1939,0,0,0,1,0,0
1942,0,0,0,1,0,0
1948,0,0,0,1,0,0
1954,0,0,0,1,0,0
1964,0,0,0,1,0,0
1967,0,0,0,1,0,0
1975,0,0,0,0,0,1
1976,0,0,0,1,0,0
1977,0,0,0,1,0,0
1981,0,0,0,1,0,0
1982,0,0,0,0,0,1
1990,0,0,0,1,0,0
1992,0,0,0,1,0,0
1994,0,0,0,1,0,0
1998,0,0,0,0,1,0
2007,0,0,0,0,2,0
2011,0,0,0,0,1,0
2012,0,0,0,1,0,0
2018,0,0,0,0,1,0
2019,0,0,0,1,0,0
2025,0,0,0,1,0,0
2027,0,0,0,1,0,0
2028,0,0,0,0,1,0
2037,0,0,0,1,0,0
2038,0,0,0,1,0,0
2041,0,0,0,1,0,0
2043,0,0,0,1,0,0
2044,0,0,0,1,0,0
2046,0,0,0,2,0,0
2053,0,0,0,1,0,0
2062,0,0,0,1,0,0
2064,0,0,0,1,0,0
2075,0,0,0,1,0,0
2078,0,0,0,0,2,0
2079,0,0,0,0,0,1
2080,0,0,0,0,1,0
2082,0,0,0,2,0,0
2088,0,0,0,0,0,1
2096,0,0,0,0,1,0
2099,0,0,0,1,0,0
2100,0,0,0,1,0,0
2102,0,0,0,1,0,0
2109,0,0,0,0,1,1
2110,0,0,0,0,1,0
2114,0,0,0,1,0,0
2116,0,0,0,1,0,0
2120,0,0,0,0,1,0
2121,0,0,0,0,2,0
2122,0,0,0,1,0,0
2123,0,0,0,0,2,0
2128,0,0,0,1,0,0
2137,0,0,0,0,1,0
2139,0,0,0,1,0,0
2142,0,0,0,1,0,0
2144,0,0,0,1,0,0
2146,0,0,0,1,0,0
2152,0,0,0,0,1,0
2155,0,0,0,1,0,0
2156,0,0,0,0,1,0
2158,0,0,0,1,0,0
2166,0,0,0,0,1,0
2171,0,0,0,1,0,0
2172,0,0,0,0,1,0
2174,0,0,0,1,0,0
2189,0,0,0,1,0,0
2190,0,0,0,1,0,0
