,year,freq,uri,rate,exp_freq,poisson_prob
0,0,0,36,0.0,0.5611430692150677,0.4294434946166388
1,25,0,7,0.0,0.10911115234737429,0.10336925065335434
2,50,0,8,0.0,0.12469845982557061,0.11723694902026582
3,75,0,10,0.0,0.15587307478196327,0.14433221070037483
4,100,0,16,0.0,0.24939691965114122,0.2207293958249512
5,125,0,17,0.0,0.26498422712933756,0.23278194888848924
6,150,0,26,0.0,0.40526999443310446,0.3332032448593525
7,175,0,51,0.0,0.7949526813880127,0.5483973963746068
8,200,1,95,0.010526315789473684,1.480794210428651,0.4357260708319508
9,225,2,119,0.01680672268907563,1.8548895899053628,0.28411788515149183
10,250,1,156,0.00641025641025641,2.431619966598627,0.6983800577293534
11,275,3,234,0.01282051282051282,3.64742994989794,0.4948207062997235
12,300,7,232,0.03017241379310345,3.6162553349415476,0.031485181031388754
13,325,0,173,0.0,2.6966041937279646,0.9325658824293936
14,350,3,204,0.014705882352941176,3.1798107255520507,0.39298307341738004
15,375,3,261,0.011494252873563218,4.068287251809241,0.5797558067936901
16,400,0,217,0.0,3.382445722768603,0.9660357141551777
17,425,1,211,0.004739336492890996,3.288921877899425,0.8400487962868868
18,450,1,252,0.003968253968253968,3.928001484505474,0.9030022946588493
19,475,1,106,0.009433962264150943,1.6522545926888106,0.4917818653812691
20,500,3,142,0.02112676056338028,2.2133976619038784,0.1832884557670451
21,525,4,116,0.034482758620689655,1.8081276674707738,0.03699722588598142
22,550,3,122,0.02459016393442623,1.9016515123399518,0.12558030026723044
23,575,4,215,0.018604651162790697,3.35127110781221,0.24680338864473472
24,600,1,156,0.00641025641025641,2.431619966598627,0.6983800577293534
25,625,2,166,0.012048192771084338,2.5874930413805903,0.4784261073396092
26,650,2,162,0.012345679012345678,2.525143811467805,0.4626202589003581
27,675,0,150,0.0,2.338096121729449,0.9034887909794571
28,700,1,104,0.009615384615384616,1.6210799777324179,0.48185157325612593
29,725,10,346,0.028901734104046242,5.393208387455929,0.02233599398902375
30,750,4,206,0.019417475728155338,3.210985340508443,0.22134657239993483
31,775,1,129,0.007751937984496124,2.0107626646873262,0.5968994486352166
32,800,2,136,0.014705882352941176,2.1198738170347005,0.3557322073601161
33,825,2,141,0.014184397163120567,2.197810354425682,0.37669905221449795
34,850,2,142,0.014084507042253521,2.2133976619038784,0.38087651675430445
35,875,2,76,0.02631578947368421,1.1846353683429207,0.11719811833181415
36,900,10,247,0.04048582995951417,3.8500649471144928,0.0021307394948684166
37,925,4,60,0.06666666666666667,0.9352384486917795,0.002760114928397228
38,950,0,96,0.0,1.4963815179068474,0.7760609848314837
39,975,4,46,0.08695652173913043,0.717016143997031,0.0008735185566873804
