Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
75,يغضب,نفسي,اذهبوا,مثله,تري,نهاني,غضبا,فعصيته,غضب,بلغنا,57,54,53,"Hadith - Adam as first human, Noah as first messenger - Sunni"
354,نفسي,يغضب,اذهبوا,مثله,فعصيته,نهاني,غضب,غضبا,سماك,اشفع,15,15,15,"Hadith - Adam as first human, Noah as first messenger - Sunni"
388,تري,بلغنا,يغضب,اذهبوا,ونهاني,نحن,نفسي,تشفع,وسماك,مثله,14,14,14,"Hadith - Adam as first human, Noah as first messenger - Sunni"
381,فيذكر,فيطلب,ذنبا,بصاحب,فيتي,ونفخ,ويقول,روحه,قبلا,وكلمه,14,14,13,"Hadith - Adam as first human, Noah as first messenger - Sunni - variant (some outside Hadith?)"
