Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount,Notes
87,فالتي,والنار,الجنه,انذركم,اعور,يجي,الدجال,احدثكم,انذر,واني,52,50,49,Hadith on the Dajjal - Sunni
139,كلامي,فوصفه,راني,سراقه,انذركموه,سيدركه,لعله,الدجال,الجراح,واني,37,34,31,Hadith on the Dajjal - Sunni - variant not in canonical texts
430,كلامي,سيدركه,قلوبنا,راني,انذركموه,لعله,مثلها,الدجال,انذر,واني,12,12,11,Hadith on the Dajjal - Sunni - variant not in canonical texts - later transmissions
73,انذره,يقله,باعور,فاثني,ساقول,قولا,اعور,نبي,الدجال,تعلمون,57,57,41,Hadith related to Dajjal - Sunni
313,انذره,لانذركموه,فاثني,يقله,واخبرني,باعور,قولا,اخبره,تعلموا,اعور,17,17,17,Hadith related to Dajjal - Sunni
122,انذره,خفي,فاطنب,والنبيون,يخفي,شانه,عليكم,امته,الوداع,واثني,41,41,37,Hadith related to the Dajjal - Sunni
